,screen_name,description,label
6120,Janpatmcfc,"Mum, grandma, nurse. Loves triathlon/cycling/OWS in which I make an effort to train in and enter- ever hopeful of improvement! ⚽MCFC Fan One life- live it!!",
6264,MarkRushworth3,Retired theatre staff in NHS after 30 years now grandparent,
6553,El86562179,Self employed parent who has worked in Europe and America and has family in both. Really aware that the long term future of Britain is in the balance right now,
6571,TSLizR,"Wife, mother, grandmother, retired teacher. Thankful and grateful for today and every day.",
6578,eastacton,"“East Acton is God’s own country – eastern division” – said by my grandad William Portwood (born locally in 1888).  
Never moved from East Acton - never will.",
6716,Snippetygiblets,"51 year old stay at home parent to one boy (born June 2007). Teetotal,  vegetarian, pagan humanist, non-binary, happily married.",31-59
6824,ChrisBramall,b. London 1942; 30 years in Stourbridge; 3 university degrees; m. to Helen; 3 sons/1 stepdaughter/2 granddaughters/2 grandsons; CofE; WBA; LibDems; #RejoinEU.,over60
6825,mickmca32,Widowed father of 3 living in Co Armagh Ireland🇮🇪🇪🇺,
6863,greeeneyedwhwom,Canadian mom & grandma! Sober!  Trump needs to GO!! No DMs Please 🇨🇦,
6946,andrewwebb100,"An upstream  Oil and Gas Industry professional, Leicester Tigers fan, husband and father of 2 boys",
7143,alilothianx,"Twitter convert, mother and now grandmother. Remainer working with EU food law & health & safety",31-59
7207,Hogmeisster,"Unofficial UK Ambassador to the Red Sox Nation, LibDem father to Tim  & Emily (who just happens to have Down's) -  ne me blâmez pas j'ai voté Restez",
7209,CindyLe05347069,"Working mother & grandmother. Wanting a greener & brighter future for our children ♥️ the EU, hate the Tories, our children will oust them & Rejoin the EU 🇨🇰",
7231,AnnBrunton,"mum, grandma, retired nurse. part time buddhist.",
7310,SandraDunn1955,Retired court official promoted to liberal elite! Baby Boomer #FBPE who wants a future for her daughters and grandson with all the benefits she had!❄,
7353,AnitaNelam,"Chief Strategy Officer for Innovative Global Supply working to create positive health outcomes throughout the world. More importantly, mother of five children.",31-59
7531,ElliH53,Mother and grandmother who wants a fairer society for future generations. Cat lover and bookworm.,over60
7570,ShulaTajima,"Person Centred Therapist who loves her daughters, granddaughters, son in law and dog, but not necessarily in that order. Definitely left leaning and Christian",
7619,jasmine_e_brady,"lover of museums , sartorial enthusiast , mother of dragons , (visitor services at @fitzmuseum_uk) . views my own 🕶",
7629,HullahBrenda,"Lifelong socialist, mother, grandma. Hate liars.",over60
7638,AlysonY60468412,"Aly, retired, happy mother of 3 amazing adults, delighted grandma, #artist #jewellerymaker #spiritual #animallover #socialist #rEUnite",over60
7711,johnlholden,"Rugby referee, Hampshire. 1st Bass, @WaverleySingers, @ExcelsisChoir. Married, two daughters; proud grandfather! Enjoys: beer, curry, music. App builder.",
7724,MDOPrune,"European, citizen of the world, in love, mother of 4 wonderful daughters, waiting for the country we fell in love with 28 years ago to come to its senses",31-59
7775,Angus_Prune,"Christian; Climate Activist; Bird-watcher - with 
Lovely family of Julie ➕ 5 kids (2 girls, 2 boys, married. 12 grandkids...+2 cooking) 1 other boy at Uni",
7852,kathy__odonnell,"Journalist, scamp, parent to teen and a grown-up, LGBTI rights campaigner, board member Equality Network, former night editor of The Times, Scotland. [she/her]",31-59
7894,64e104205fc34a0,3 daughters 2 grandchildren. mufc and Wales supporter. Socialist and time traveller.,
7977,51TJK,Retired Doctor 1Amazing wife 4Talented kids 8Beautiful grandkids 🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁳󠁣󠁴󠁿🇫🇷🇮🇪Joined Twitter to vent my spleen over Brexit's many harms.,over60
8006,jplunky,Retired after great years teaching English. Proud mother and grandmother. Love my motorhome.,over60
8010,gemini2359,"mum & grandma,still young at heart :)",31-59
8082,JennyNoakes,Wife mother grandmother ex banker ex reflexologist cares deeply. Better to be informed rather than merely opinionated.,
8366,AnneLasley,"Therapeutic parent mum of 3 homeschooler wife of 1.Follower of Christ, supporter of L F C, lover of music & books, Cornwall/Dorset and their lovely coastlines,",
8414,mrmunny,"Husband, father and grandfather.  Everton in the Community volunteer. Part time EFC events team worker.
Enjoying city living..",
8485,paulinlong,"Parent, grandparent, teacher, crafter, attempted writer, displacement activist. Meanwhile reading with Novel Ideas Book Group, and member of Easington Writers.",
8504,helenabcraig,"Retired lawyer, birder, committed conservationist. Married 2 @craigerUK500, mother of Ayesha & 17-yr-old @BirdgirlUK, Nanu to Laila & Lucas",over60
8579,diddleymaz,"59 and have fybromyalgia,osteoarthritus and depression, married 39 years ,4 children 5 grandchildren..ask me about discalculai Welsh resident English Royalist",over60
8961,paulinefrance1,"early childhood specialist and advocate for playful education, governor of nursery school & children's centre, author, proud parent & grandparent",over60
9253,peta53,"Tories out! Proud mum and grandma, retired WASPI without a pension,  Labour supporter #JC4PM",over60
9485,paganbotanist,"Pagan botanist grandmother, lover of freedom, social justice, verdant ecosystems, people, diversity & mindfulness... when stressed, I like to garden. No DMs, ta",
9565,Coquettishly,"Etsy artisan, mother of 3 boys, 2 with autism and 1 is just rotten, married. I only reply to people I follow, life is too short for trolls. Serial retweeter",31-59
9689,CarolDoran18,"Mother, grandmother, sports fan, gardener, reader",31-59
9696,lilysnlilac,"Mummy to two beautiful girls, breastfeeding, natural term weaning, gentle parent advocate and sometimes I find the time to go to work too!",31-59
9741,JamahlSimmons,"MP for Sandys South. Born Bermudian, husband, father and fan of comic books and terrible movies. Dedicated to building a Bermuda that works for Bermudians 🇧🇲",31-59
9789,andreaheywood11,"Wife, mum of 3, pet parent to mad Labs, Bonnie and Hope.  Old school socialist. Brexit status? Tricksy remainer.",31-59
9879,HMikejones52,married to Chris 2 gorgeous daughters.3 brilliant grandchildren. work at Toyota.LFC for life.,
9918,RTHondavehanson,"husband,dad grandparent,son,brother,uncle,friend-lab member,coop,usdaw,Beatles,cinema #lfc-proud ex govt minister & lab MP Delyn-hope I made/make a difference",over60
10011,bartlett_mrs,"Retired headteacher. Kindness, trees and wildflowers. Supporting eco-socialism for my grandchildren’s sake. #JoinedLabour",
10133,GeoffBrewer,Retired IT Manager. Campaigner - safer additives. Westminster candidate twice. 4 children 7 grandchildren Farmer 4 years RAF Police 23 years Househusband 10 yr.,over60
10311,LabourLesley,"Cllr for Stonehouse, Leader of Gloucestershire Labour Councillors, beekeeper's wife & busy granny to 5 grandchildren. Loves tea & politics, hates wearing shoes.",over60
10354,LindenLyn,'We may be the children and grandchildren of neoliberalism but we will be the parents of a new world.' From Chile via Naomi Klein,
10379,McmathGary,"Film Editor - Husband to an amazing wife, proud father of two wonderful girls. Labour Party Member 🌹",31-59
10791,Langdale1,"seeker of meaning, journeyman, disciple, trainer, coach, husband, father and lover of beauty",31-59
10861,artfull12,"What's there to say, dad, grandad am all these and lovin it :-)",
10873,wislonk,Retired Early Years Advisory teacher enjoying being a grandma and a member of the Labour Party. Living in a London marginal,over60
10934,emmafriedmann,"I have epilepsy and am a mother of a boy with Fetal Anti Convulsant Syndrome.  Co-ordinator, active mind, sharp wit, honest, hard working, loyal.",31-59
10997,elizabeth070354,Labour supporter oap nan to 8 beautiful grandchildren and mum of 3 spoilt furbabies,
11215,PhilipWh2,Married to Irene a dad and grandad outright socialist and committed activist labour councillor for Caerau and cabinet member for social services and early help,over60
11228,MaryYoungDavies,"wife, mother, grandmother, enough said",
11245,mahri_mac,"Welsh socialist, wife, mother and grandmother. #JC4PM",31-59
11299,jan_lockyer,Neath Town Mayor  2004/5 & 2014/15  Labour Cllr on Neath TC since 1999. School governor. Married to Alan with 7 beautiful grandchildren.,
11428,ffyonadawber,CEO of @synergyvision. trustee of @cftrust. devoted communicator. obsessive tea drinker. passionately principled. mother of 3. bit northern. problem solver.,31-59
11496,thereselite,"Works in Salford Royal Hospital and mother of 2, and is interested in people and politics, proud socialist, and wants the 1% to pay their share No DM’s thanks",over60
11628,Amandalavan1,"I am a mother of identical twin boys and a HUMAN RIGHTS Defender, dedicated to justice. Please support #FreeNazanin held captive 4 years, support #FreeNarges",31-59
11703,Jefflet,"Civilian. Husband, father and inordinately proud Taid. Tweeting to support local business arts & libraries.
Will still heckle politically",
11938,kat_hy1,"Grandma, enjoys travelling, having fun and spending time with grandchildren, proud Labour Party member",
12039,PCarrington01,"Retired archaeologist, currently VP & Editor of Chester Archaeological Society, sceptic, proud grandfather.  Views here my own.",over60
12298,ChristineKuble2,"Newham resident since 1975, now retired, worked in social housing provision for many years. Mother and grandmother",
12911,DrCharlesSmith,"Economist, educator, socialist, author, examiner, cyclist, grandad. Tweets mine, RTs not. No official capacity here. EU citizen. 
¡NO PASARÁN,
NO BREXITAMOS!",
13108,CllrJulieReid,"Labour Gorton and Abbey Hey Councillor. MCC, Teacher. Mother of 3; 1 son, two daughters and a nana of 3 grandsons🌹Tweeting in a personal capacity.",
13123,yssie,Married. Three grown up children and 5 grandchildren.,
13148,jenzofan,"cannot be doing with stupidity, even my own, have 2 kids 1 grandbaby, proud to be motherish. enjoy logic, tax and thinking.",
13197,jenniseex,Gin loving sun chasing former housing now fire safety geek. Enthusiastic but mostly incompetent mother of one. TU rep. Many hats but just one person. Own views,31-59
13622,guse_guse,"A Europhile for 50 years who has temporarily lost the fight for the rights of her grandchildren to live in a tolerant, liberal country.😢😢",
13763,obeeI,Q ~ music ~ grandpops ~ books ~ friends ~ wine ~ education for all ~ social reform,
13778,jay_robbo,"Knowsley UNISON Branch Secretary, Labour link officer and member of the Regional Committee. Labour Party activist. Proud father of two. Support LFC YNWA",31-59
13844,scousefrog,"Born and brought up in Paris in the proud traditions of revolutionaries, Labour supporter, Retired French teacher, wife, mother, grandmother, dog owner.",over60
14184,KeithGeddes,"Policy Director PagodaPR, Chair Central Scotland Green Network Trust, all tweets in a personal capacity. Ageing father of two young children.",
14197,happywombelle,Happy go lucky mother of three afc Wimbledon fans . #coeliac and Type 1 diabetic.,
14384,Byrnedg,#Labour Islington Socialist #Socialhousing #Ireland #JC4PM2019 #Arsenal Primary tutor ex-teacher #Ballyfermot mother Irish Studies graduate,
14544,GrantDiemgrant,"Wife, mother, grandmother, Labour Party Supporter, Socialist, trying to stop 1984 happening in 2024",
14958,Anne_Conner2,"retired academic, mother, grandmother, socialist.",
15470,aerendell491,"Retired RN. MSc Public Health/Community Care.  Was anaesthetic nurse, DN / QNI, JRH senior nurse, later Inspector CIW.  Father & grandfather #Foodbank Volunteer",over60
15607,janbabs,Green grandma with good-lifer tendencies. Socialist. #GTTO,
15825,janice_ianp,"Semi-retired lecturer, nurse, mom, grandmother. Passionate for NHS, and properly funded End of Life Care. Pro EU. Views are my own.",
16087,Dianeillingwor5,Mum of two gran of three want a better place for my grandchildren  to grow up in life long socialist JC for PM hate tories,
16096,littlejeff5,"73 year old socialist who is looking forward to a socialist govt.  Our grandchildren are living our lives for us .Open to sensible discussion from all parties,",over60
16245,KatieJames76,"Wife, mother (since 22/1/2013) sister, daughter, friend, runner, swimmer, worker bee. I enjoy socialising, reading, cooking, and running.",
16583,JulySep53,"British-Turkish Cypriot
Happily married mother of 4, close to retirement-
Remainer- pro Palestinian independence",
16671,cakiebutbut,"Mother, grandmother. Think the NHS is one of this country's greatest achievements, fighting to keep it - poems my bullets.",over60
17033,Ayclifferusty,"Postman, local CWU Rep. Father of four, 6 grandchildren and three ukulele's",
17163,GothThug69,Company Director and biker. Best part of life: Proud father and husband to lovely lady.,
17248,norwichbirdie,"70 something vegetarian grandmother who adores her wonderful family, music and all animals (especially dogs, elephants and wolves) & wants a cruelty-free world",
17484,roseandchar,I want a better future for my children and grandchildren @womensvote@vote@Labour#Labour#VoteLabour,31-59
17676,hpturnbull,"Husband of Jane, father of Harry, Kiki, Alexander & James, brother of Patricia, grandfather of four girls & six boys, oh, & architect, still!",
17781,EmilySymons,Retired science teacher; gardener; Christian; grandma; supporter of asylum seekers; opposing hostile environment.,
17782,IDickson258,"Grew up in care. Dad & granddad. Retired S/Wkr, Ofsted inspector, residential mgr & children's rights advocate. I stand with other people who grew up in care.",
17788,BruceLesley,"Proud father of 4, husband, son, uncle, and child advocate. President of @First_Focus & @Campaign4Kids. Basketball fanatic. #InvestInKids #VoteKids",
17914,lidsau,Jeremy Corbyn was my last hope of a better future for my kids and grandkids 😔,
18193,AliceLeahy4,"NHS children’s doctor, proud European, mother of children who want to live and love and work anywhere they choose.....",31-59
18497,chrisangwin955,"Socialist, humanist, feminist, still trying to pack in enough reading, walking,swimming to balance life with pleasure in kids grandkids and friends.",over60
18590,angelenewright,"Wife of MS sufferer, mother, grandmother, Christian, teacher - now completely retired.",31-59
18689,spike_humphrey,Proud father and community volunteer,31-59
18716,Michael29261956,"Leftie retired teacher, leftie dad, leftie grandad.For the many, especially  grandchildren, not the few!",
18835,petemac1953,irish brummie villaceltic  fan proud dad & grandad,
19190,cllrjennyoldham,"Lab Cllr Alexandra Ward Oldham, Deputy Mayor, Chair Health & Wellbeing Board. Retired teacher & senior manager. Proud mum and grandma.",over60
19314,hftaman,"Retired teacher but still active learner. Busy supporting my NEU branch, Jeremy Corbyn, Palestinians, Labour and two daughters and grand daughter.",
19336,AEmmony,"Director, father and socialist",31-59
19405,TheLifeandLega1,For Black History Month @mrssamgordon returns to look at the life and work of my great grandfather with a picture a day.,
19425,Rhobyngoch,"Father, grandfather, journalist (NUJ member), socialist. Fan of Marx  (Harpo). Ex-Sooty roadie. I believe in Jeremy Corbyn, socialism and Rebecca Long-Bailey.",
19567,davidcox65,Mile munching grandad with Cycling UK Beacon Push Bikes Bike West Midlands. Active Well Being and equalities. Stay close to EU & end austerity,
19582,garyhowto,"Academic, teacher, ed psych  and writer on #education and #research methods. Doting older daddy [much older] and grandpa. All views someone else's.",31-59
19586,mikesha51575779,"Labour Councillor for the New Pype Hayes Ward  Husband, dad and grandad.",
19628,katiejsun,"Married to my best friend and mother to Rebecca, Matthew and Hannah.  Proud fan of Sunderland AFC. Love my friends and family",31-59
20000,USNBuckles,"Cornishman, from Ludgvan near Penzance Living in Wales with lovely wife Julie, daughter Lisa, grandsons Ethan,Theo & granddaughter Ava Member of MAGOR Group.",
20784,Jowett59,Christian - Net Church Huddersfield - husband - father - Huddersfield Town fan - allotmenteer - geek - Myers Briggs INTJ = rare breed,
20959,PeterHa12765643,married. retired grandad.  I love the UK - let's all try harder to get on with our neighbours. FBPE# Kick out the lying Tories,
21152,AilsaWise,"Wife, mum, mum in law, grandma.",
21191,hollyhock140,"Grey gay godless guerilla grandad going over the top (in more ways than one) with a grenade. Expect cynicism, sarcasm and leg pulling.
Co-Founder @TheFoodChain",
21293,JohnJoh60210099,"Family man, widower, love my 4 grandweans and life in general.",
21370,McEwanMartin,"Professional communicator and marketer, President of the Northern Club, cricket parent and living room commentator. Views all mine",31-59
21401,lesleyannblake,"A very proud mum, and a grandmother to 4 gorgeous grandsons and 2 beautiful granddaughters. Also not forgetting wife to a wonderful man.",
21759,pritchar13,"Labour Councillor representing Morgan Jones Ward, Caerphilly @morganjoneslab. father , sports lover and karaoke amateur.",31-59
22365,RaviSubbie,Doting grandad; Regional Secretary UNISON West Midlands; maths/physics geek; ret'd DJ; tweets = personal; RTs & faves ≠ endorsement,31-59
22438,JosephineLynne1,"Mother of one , grandmother of one.",
23120,AnitajisWorld,"Rev. Anita McKenzie, Mum, grand-mum, Interfaith Minister & Spiritual Counsellor, vegan foodie, photographer. Views expressed are absolutely my own.",31-59
23533,EmmaVBryning,AHRC-funded PhD candidate researching historic & contemporary graffiti @ UoY and EH / Heritage & Social Impact Manager / proud cat parent / own views / She/Her,
23654,ferguson2811,"Angry WASPI 64+ supporter of Scottish Independence for a brighter future for my grandchildren NOW not in an undetermined time in the future, BUT in my lifetime.",over60
24433,GregHadfield,"Husband, father, and grandfather. Formerly Fleet Street, digital media; Socialist. Preparing for the next (ad)venture. Still...",
24479,betblu3,A mother of two and ardent supporter of protecting health and well being of our future generations and the planet. I don’t respond to DM’s,
24700,ReinaLatinaG,25 | Londoner with a Spanglish Venezuelan mother and a North American father | Brighton📍 | Videography & Photography | Political | • 🇬🇧 🇻🇪 🇪🇸,below30
24742,MediaWiseMJ,"Hon. Director, MediaWise https://t.co/zVsG8Kgyqh; writer; trainer; editor; former visiting professor; gardener; grandad. Irish European. NUJ Life Member.",
24831,nscoll,"Retired community psychiatric nurse, husband, father, grandfather, great-grandfather, gardener, runner, home brewer, socialist",
24910,CherylW98619747,Happily married retired nurse. Mother of 2 wonderful kids & grandmother of 3 gorgeous grandchildren.Blessed with my friends. Lifelong Labour member & want JC4PM,over60
25670,martylew1978,"Children's nursing lecturer, sustainability student/scholar/geek, Musician, father to a 4 year old dude.",
25757,Bl4CKW1DOW69,I am a mother of three and grandmother of six.,31-59
26203,helmut_herberth,"👽🇬🇧🇪🇺Happily retired husband and grandpa, grateful to NHS for being alive, passionate rejoiner",over60
26727,fleeson713,"Views are my own
Proud to be British AND European! 4 children and 11 grandchildren, which is why I hate Brexit. Season ticket holder at Birmingham City.",
26776,lovebillybragg,'The privilege of a lifetime is to become who you truly are' (Jung) Fully occupied mother of three adorables #bestjobintheworld @rcpsych Council rep Teacher NEU,
26852,oldpigsqueal,Father and grandfather. European. Conservationist. Environmentalist. Traditionalist. Pagan. Carer for an English Springer Spaniel.,
27042,hobbs_aj,"Retired teacher, husband,father and grandfather. Interested in gardening, science and politics.",
27131,georgeinsoutham,"Proud parent and grandparent. Retired from full time work, not retired from life. #walking #politics #viewsmyown #ExtinctionRebellion #LABOURvoter",
28037,KevinWh1964,"Former 22 year service veteran, proud father and husband. Disabled wheelchair user.",
29459,fearless1952,"Football(proper football that is)
55plus years a Poshie. Proud husband, father and Granddad.
Detest musical theatre, Country, rap and C. Palace
Moany old git",
29725,MuMc1962,"Happily retired teacher. Resolutely Left Wing. Proud mother of student of Arabic,⬆️ Keen gardener. #BDS #freepalestine🇵🇸 #GTTO #freejulianassange",over60
30481,stephenbarr4,"Ex coal miner, dad and grandad. Labour for the many.",
30516,Earthling_Simba,18. Vegan. Anti-imperialist.🇳🇵. Forever in solidarity with Palestine. Trying to do my bit for mother earth. Anon.   🌎🐋🐤🐝🌱✊🏽💚 she/her,below30
30876,LindaHa22905482,64yr old mother of 2 and grannie to 4. Loves to let off steam on Twitter. Values others opinions of life.Supports backto60.,over60
31246,chatterbox7777,"Busy but very lucky and entirely bonkers, mother to five gorgeous children.",
31631,panascouse1,"Retired care worker, married to retired engineer, 3 grown up kids, 7 grandkids. Hoping 4a peaceful life for my family and everyone.Hoping 4a Labour government🌹",over60
31856,ChrisPowdrill,"life is:- 3 grandchildren, IAM Driver & Rider Observer + Masters Rider, DiYer, singer, swimmer, Tigers & England fan, tweets my own views except RTs",
32703,heatherchez,"Have two kids, three grandchildren, love them all.",
32906,helpineedavodka,"I can't stand the #NastyToryParty social injustices. Fairness for all is what society needs #ForTheManyNotTheFew.

Proud mam of 3 rugrats & 5 grandchildren.",
32959,katydid2fury,"Father, grandfather, retired school teacher, trainee guitarist, Chelsea supporter, cycling, feline friend,  BA (OU), be true to yourself.",
33147,Noveltwisted,"Author born to a Welsh mother and Irish father I have a calm temperament in years which have 13 months. Recovering Catholic, practicing drinker, writer, artist.",
33483,Utd_Glazersout,Manchester United till I die Manchester born and bred the loves of my life are my 3 daughters my hubby my grandkids and united https://t.co/zZsMKTt1QO,
34371,PeteDudgeon1,A Coventry City supporting. socialist father of two. All views here are my own as they say at the BBC ...,
34448,Patrice35632323,"Freedom of information , social philosophy, political science, human behaviour , Researcher, PH.D. social activist , Buddhist ,loving father and bass player",
34449,Pippaprice3,"Artist , poet , philosopher , designer , inventor , will agree to disagree , loves nature , mother of two . free Basic income and renewables  for all humans x",31-59
34602,joanbeckcoulson,Always for Judy: Witness to the Joy & genius of Judy Garland Love to travel and spend time with five grandchild http://t.co/VOXDuoAHYq,
34680,ChrisTeague2,Retired after 50 year career in Architecture. Living with my partner Jayne. Spending more time with family especially grandchildren. Playing more golf.,
34969,MusaVuecomms,"Musa Idris is an Audio, Visual, Aerial, Satellite installation expert. Father of 4 grandfather of 4",31-59
35033,CC4BirchGreen,"@uklabour former Labour councillor. Nana to 6 gorgeous grandchildren & 6 step grandchildren. Celebrate Skelmersdale Organiser, #MadeInWN8 all views etc.",31-59
35539,SUTONGIROTCIP,Unknown painter/poet. NUFC. 6th extinction under way but desperate to be an optimist for my grandchildren. Time is running out. Maybe a revolution beckons? MMT,
35935,SandraHalifax,"proud mother of two brilliant daughters and grandmother to adorable grandson. lived London, Hertfordshire, California, Somerset, Isle of Man and Berkshire",
36451,Alison4W,"Labour councillor for Woodstock Ward, Kingswood. Infant teacher and mother concerned with Tory cuts to our public services and communities.",31-59
36499,marianj12,"Grandmother, mother and just a bit off the wall.  Not a problem - it's nice here!!",
36602,revjaneedwards,"Retired Vicar, wife of 1, mum of 3, grandma of 4, still active 🙂 views expressed are my own",over60
36896,josehargreaves,A very old retired Midwife I have two brilliant children and two beautiful grandchildren.,
