screen_name,description,label
aaronjamesf1,"28, Cornish | @southamptonfc, Robot Wars, Motorsport fan, love @manics & @chvrches | MRes, BA (Hons) Journalism, Media Producer | Views Own | RT=not endorsement",below30
lukeejeffery,20 | Co-Chair of Devon and Cornwall Young Liberals @YL_DC | Youth Dev Officer @TivHonLibDems | Lib Dem District Councillor Honiton St Michael's @eastdevon,below30
1230jackie,"1230 TWC |networker|international speaker|trainer|connector|Business connections wherever there are business women|speednetworking|pink, purple hair!",
mandybrar12,49 turning 21. Lib Dem local councillor for the cookham!,31-59
AishaJMir,"2019 GE Parliamentary Candidate.
Businesswoman who wears many hats. Liberal, outward looking and progressive. Views are my own, RTS not endorsements",
_freyahope,"17, conservative, care leaver, christian. personal account, for serious stuff follow @freyahgreenwood",below30
jakelibdem,"2019 GE candidate for the @SalfordLibDem in Salford & Eccles. Fighting for a Liberal voice on Salford Council in 2020. 

✉️ - jake@salfordlibdems.org.uk",
askhertostand,"50:50 Parliament #AskHerToStand working with all Parties inspiring & supporting women to Parliament., encouraging them to #SignUpToStand 🙌to help them win seats",
jimbolene,"54, Hitched, 2 old kids...well that is what they say they are, but i suspect they are something far more sinister. Bewitched",31-59
hassaanhch,25. Used to be an account for public transport discussion. But 2016 unleashed racism and xenophobia that have made me unwelcome in the country I was born in 😡,below30
LukeTaylorLD,"2019 LD Candidate for Mitcham and Morden, 2015 LD Candidate for Battersea, trying to be part of the solution.",
Jamorgan1950,70th year,over60
doublemacc,"20th Century Sci-Fi & Double Macchiatos | Founder, @IG_Advisors | CEO, @MisfitsMedia | Chairman, @Lightful",
Snoozette1,"2016: Voted Leave - regretted it immediately &
campaigned to StopBrexit | 2019: Voted Remain - I will always be European. I will always be a #RemainerNow",
lester_hickling,"36yrs Labour member, Unite,Momentum,medium size Business owner, looking for a fair unbiased media.retweet’s do not signify agreement or support,don’t answer DMs",31-59
no1fiftiesfan,40 years in property management (boring!!!)   and   20 years in online education(exciting). Worn out - waiting to retire!,over60
JulieMontoya20,"45 out of 46 cannot be called a failure by any reasonable person.
As well as, not instead of.
You/She/Her (locally,her/her). Inverse Pescetarian. 
#girlslikeus",
discworld_girl,30-something year old kid with a discworld addiction. #StillARemainer She/Her. “Don’t make poverty history; make it current affairs.” - Tony Walsh,31-59
hassine_laribi,21Net Networkrail Railway Us Rail Uk Rail,
jaixzz,"1704: Brit Gib 🕷️
1713:Territry+Port ceded.UKGB
1982: Gib Waters confirmd Treaty Montego Bay, DMZ bisect'n lat
1985: Spain+EU,condit'nl open border",
rhi0406,20 • Wales and Ospreys supporter🏴󠁧󠁢󠁷󠁬󠁳󠁿🏉,below30
BeyRihStan,22 GRAMMYs. BeyHive... sometimes Rihanna Navy... sometimes sometimes Barbz.,below30
PaulClayton1977,"42 year old food loving cricketaholic.  Proud European.  Stamp collector, part time stamp trader - check out paul_s_clayton1977 on https://t.co/TAduba91cA for GB stamps",31-59
baker_sarahlou,50+ & divorced 🙌I love a good read 📚enjoy walking 👣👟 and love holiday's🌞😎,31-59
hughie_go,60+ husband and father with a wry look on the world. LibDem. Dormant on Twitter until Brexit - ardent Remainer. Railway and MG geek. RT does not = agreement.,over60
Ell_Jayne98,22 years of age 🤙🏻Professional Loser 🦄🌈🌈🌈🌈🌈 Proud Lib Dem Activist 🔶 History Obsessed 📚,below30
Mitch20015,18 - Interested in 🇬🇧🇺🇸🇨🇦🇪🇺 politics. #TreeHugger #Lexit #AlohaGang 🇬🇧🏴󠁧󠁢󠁥󠁮󠁧󠁿➡️🌸🌺🌻🌹🧢🐱🐶,below30
OwenLambert1,"21M. Lancaster and Morecambe Liberal Democrats 🔶️, @ALDC Staff, Campaigner. He/Him, 💗💜💙. Morecambe lad through and through. Kay 💖💖💖",
Minnyminnow,"30+ ♀️💕 science, nature, aquatics, space, dinos, prehistory, art, music, Wales, SLee, NIN, AFI, Jeff, Lilly, Yonce, Elon, GOT, JP/W, KSmith, BCox & MUCH more.",31-59
ajmorecroft,33. ENTJ. South East London. Ex-expat. 🏳️‍🌈🇪🇺🇬🇧🇩🇪🇳🇱. Marketing & Fundraising @movetheworlduk. Views are my own.,31-59
Wagbo42,911 was an inside joke,
CJLittlemore,23 • @WelshLibDems Board Member • Dysgwr • Lover of sequins • He/Him • 🏳️‍🌈🏴󠁧󠁢󠁷󠁬󠁳󠁿🇬🇧🇪🇺,below30
kevina364,"43, News, Sport,Politics & Polling with my right wing Libertarian views thrown in from time to time. For an EFTA Brexit which upsets some on both sides.",31-59
oscarforest1,25 Friends. Family. Food. Forest. Owner of @rosewatches and @FoxleyFishing . Slight obsession with football and AC/DC. Working hard to achieve my dreams!,
TheO530CarrisPT,25 / Proud EU citizen / #777X & #A350XWB Lover / RTs are NOT endorsements nor constitute my views; Views are my own.,below30
AyrshireBog,50yrs an Atheist/Secularist. Tolerate nonfundy religion. Islamism currently threat. x=flagwaver. Leftish. RTx=endorsement. Be rational and I rarely block. UKOK.,31-59
FraserWhyte81,"39, father of 2, political, stats junkie. Member of @LibDems.  Don't be a dick. All retweets are sarcastic.",31-59
gazc40,"50+ & on Twitter! Interested in tech, the future, books and the world. And good food and cooking. # RejoinEU",31-59
JuneM4ry,"100% Remainer .... #FreeNazanin 
#ReleaseTheRussiaReport #IAmEuropean #FBPE #FarRightCoup  #RevokeA50 #GTTO   #FreedomOfMovement #GFA #Frauderendum #LiarJohnson",
ClaraHa24405597,"60 this year and still as European as ever. (U.K. is well and truly f**ked). Twitter is full of people, good as well as not.🇪🇺🇪🇺🇪🇺",over60
digray4000,"2020 Democracy's sole aim is to provide all UK citizens with accurate, evidence to empower us to decry moral ineptitude through collective peaceful actions.",
Ace_Aro_Agender,50% Tombstone hunter. 50% IR officer. 100% Hiraeth.,
CalXcviii,21 || NUFC || LANGUAGES 🇫🇷🇪🇸,below30
hashtag_gouldy,"2019 TMC Merida UK Ambassador.

Team Mitchell Cycles | @MeridaBikes | @ONEAL_Europe | @SchwalbeUK | @smithoptics | Scorpion Racks

#RideForEwen",
SimplyPaul,"48, Erotic Trade Only features editor, journalist, geocacher, photographer, PHEV & classic car owner, porn baron, YouTube addict atheist t-total veggie orphan",31-59
nirmski,"50 something IT manager, loves sport, play hockey(again ), golf and cricket and anything else I get asked to. Love the outdoors and sci-fi. Keen Cyclist",31-59
sbutty,"30 years young. I watch too much TV. me gusta hablar español. a veces. 
Liberal Democrat party member.",below30
OrielHighSchool,"11-18 Secondary school in Crawley, West Sussex. Opened in 2004. Our values are Creativity, Achievement, Respect & Excellence. #proudtobepurple 💜",
AOzsagiroglu,22 | Economics Graduate 👨‍🎓| Democracy Denying Snowflake of a Remainer 🇬🇧 🇪🇺 | Greenwich 📍|,below30
CharleyHasted,"2019 Lib Dem PC for Eltham with @GreenwichLibDem, NHS worker, carer, They/them pronouns. (views my own)",
TonyGentGD1,"900 ha Zero-Till Farmer of Combinable crops and free range eggs.
Inventer of the GD zero-till opener.",
chris3_ll,48%,
DanieImcgrogan,21| Maths @ St Andrews| Dignity in Dying member,below30
CardingtonSheds,"40 something airship fan, cardington shed 1 was where airship R101 was built, largest aircraft the UK has ever built. Not connected 2 the owners of the sheds",31-59
Mallard_Worksop,"15 Consecutive Years in CAMRAs Good Beer Guide, 2017 N.Notts CAMRA Pub of the Year. 4 rotating real ales available daily. Retweets are not an endorsement.",
BoyceyBoy02,17 // @DHSBoys Vice Captain // @Only1Argyle Staff // @PBPenguin on YouTube,below30
LouisChamber98,21 🇬🇧🇪🇺| Atheist ⚛️| Dancer | @portsmouthYL |,
maggs912,"17c and 1940s Re-enactor, Writer, Speaker, Historian, artist, Tarot Reader, ex bbc camera operator, Museum Guide,",
mysticmeg13,29. Feminist. Whovian. Potter head. Hufflepuff 💛 Tribute. Film 🎥 fanatic. Bookworm. Blogger. Animal/Nature lover. India is my second home!,
horsham4EU,"52% of Horsham constituents voted for remain. Our cross-party community is made up of residents of Horsham district, West Sussex. On Facebook & Instagram",
Piethagoram,"25/3/19 completed 52yrs of suffering/supporting Notts County. Ipcress File's Palmer bests sums it up ""must we sit through any more of this torture?""",
pinata1138,"40. Politics, horror and porn. #Resist #VoteBlueNoMatterWho #SharkConservation They go low, we kick them. Unsolicited DM = block. I REPEAT, I RETWEET PORN.",31-59
thomasparker75,22 | @RSMUK Internal Auditor | @BracknellLibDem Councillor for Wildridings & Central | Pragmatic | Uncle to Teigan & Finley | @libdemdaisy fan account,below30
JoshKWicks,"18, @UKLabour Member🌹(#TeamNandy). 🍳. My @Medium page is better than Twitter:",below30
FSU_WMP,24/7 policing support across West Midlands. Do not report crime on Twitter. Call 999 in an emergency. Non emergency - Live Chat 0800-0000 or call 101 24/7,
JaackLilley,24 | Gin 🍸| Plants 🌱 | Cat Dad 🐈                               Co-founder of @thecamglobal,below30
ImpingtonVC,"11-19 secondary school on edge of Cambridge. Inspired by Henry Morris vision and strives to be inclusive, international and inspirational.",
MattEagles,45years with Parkinson's #lynxer ⚒lifelong Hammers fan #possibilist #Twinian #Webiter frontman and co-founder of @PKYLIFE,
dpphinn,23 | Glasgow |Trainee Solicitor,below30
ChristoClifford,"70, European, contemporary music lover. DemocraticSocialist and fringividual. Check with Labour if you can talk to me",over60
PACrosthwaite,"69, Retired and European ! Pro EU & anti Brexit. Lived in Scotland for 35 years.
#proportionalrepresentation #GTTO
#makevotesmatter
#FBPE
@propvoting",over60
TMLibDems,"100s of volunteers and 9 Councillors, lead by @trudydeankcc and Anita Oakley fighting for the residents, families and businesses of #tonbridgeandmalling",
rhianesc,"16, extremely active member of the Lib Dems but apparently too immature to be able to vote. Studying A-Levels.",below30
BVDBABY,29-year-old musician and living legend. Currently signed to Confidential Records.,below30
360DanceAcademy,"360° Dance Amberside is a vibrant dance school in Tunbridge Wells and Pembury Village. Ballet, Tap, Modern, Jazz. Turn your Dance World Around!",
300lights,300 lights refers to the waste at Crescent Road car park. Central Tunbridge Wells resident with a sideways view of the world. Not a huge fan of TWBC.,
jeevessidhu_,20 | London/Exeter | insta: jeeves.sidhu | Founder @mwexe_ | RT ≠ endorsement | @blue_beyond_ | 🇬🇧 ♉︎,below30
Mortalsoil1,80yr old mother and grandmother.,over60
JamesMcHale99,"20 !! Young Ambassador @Autism, Hate Crime Scrutiny Panel, medievalist, gay, he/him/they/them 🌈 doing a marathon for suicide prevention, pls sponsor me x",below30
NicholasMuir4,56 year old male married with kids. Football fan. Conservative with a small  c. Thoughtful but hopeful.🇬🇧🇨🇰🇪🇺🔸️🕯,31-59
DavidXMcKenzie,"2014 Better Together Organiser, 2015 GE Agent. Former Chair of Young Fabians Devolution Network. 2018 Council Candidate in Reading. #ChangePolitics #FBPE",
hazcraig16,16 years old. Proud European and Lib Dem. Formula 1 and Charles Leclerc fan. History lover. 🇪🇺🇬🇧🇫🇷 #CL16 #RejoinTheEU,below30
SebAlexT,"80% of you morons voted for Johnson, Corbyn, Farage, or Foster. So take a seat and stop bitching about “the state of our politics”. YOU DID THIS, YOU CRETINS!",
lynwis,old enough to know better than be on Twitter. I am a European living in Europe and so wish to remain in the EU. Revoke A50.,
walkuphill,"old, boring, arthritic, JoJo fan",
RaisonSteven,born chesterfield 1963 from Clowne. Lives at Vale Close in Bolsover.,31-59
CookeLouise,"born in Bedford Falls, living in Pottersville. Anti-fascist and really pedantic.",
BarbaraNairn,"older and wiser,� I voted yes",
peterharris567,older animal lover who values truth honesty and loyalty! auld hippy who hates that the aristos/toffs berate poor for being poor! but toffs have never worked !,
jennistevenson,born with a foot in my mouth.,
jono_pce,born again cyclist,
Oldtimerabroad,"retired Pharmacist, proud of the NHS, supporting all those likely to be harmed by Brexit",over60
stephaniestee,"Historian, retired teacher, genealogist, LibDem.",over60
clarsimps,retired Old Age Psychiatrist getting in touch with my inner peasant,over60
ladypleasance,soon to be retired!,over60
MickCarroll6,"#FBPE #RevokeA50 #haveDemocracy Semi-retired voluntary sector manager, consultant and coach. Retweets not necessarily endorsements",over60
andrewfolker,"retired from a lifetime in education, enjoy travelling, reading, music, motorcycling, living in france, photography and generally being retired!",over60
stilton54,"Born in Chislehurst, Kent: grew up in Cheltenham: Medical School in Cardiff: moved around a lot, now settled (and retired) in Bristol.",over60
DCCMalvern,"Husband, Dad. Semi-retired business and strategy advisor. Increasingly vitriolic observer of human behaviour.",over60
JoannaHorton7,"proud to be a Yorkshire lass
enjoying retired life. most important thing in life is 
family",over60
TSLizR,"Wife, mother, grandmother, retired teacher. Thankful and grateful for today and every day.",over60
onebsquared,"Birkdale Lib Dem Councillor, Chair Social Liberal Forum @soclibforum,Mayor of Sefton 2016/17, CEO Imagine Independence(mental health) retired after 40 years",over60
phyl_jones,Now partially retired. Sometime bowler and now sec EBUA! Provider of food to two cats & husband. AND proudly Cornish!,over60
kay_braine,Former secondary headteacher now retired and living in France.,over60
FordCarole,"#WeAreAllDanielBlake Since I retired, I enjoy following the media and seeing friends",over60
Demimaderek,"liberal, bloody minded, retired old fart, proud Remoaner who will not give in",over60
LouiseBevan22,"Liberal Democrat, gardener, community activist, retired agricultural/ environmental economist.",over60
geof24,"#FBPE #RejoinEU. Now retired, linguist, teacher. European. London, France , Egypt, Portugal. RT = interesting. No tweets=no follows. No messaging here.",over60
tina_jane,"Now retired and looking forward to the next new challenges, educated MBA masters degree. enjoy doing voluntary work and looking to continue in my new home are",over60
HelenSalmon2,"I have recently retired from Headship after leading two schools in Devon. Enjoying an active retirement reading, keeping fit, volunteering and fighting brexit.",over60
Andrew_S_Hatton,"Dyspraxic & retired social worker who cannot get over his concern for criminal justice especially probation. worked in Merseyside, Essex & London.",over60
wendy65wr,retired finance manager. treasurer 4 2 charities. a lion,over60
Gillybean1961,"Farmer's wife, retired teacher, nana, avid reader of historical fiction",over60
petertowns5,"Soldier, businessman, traveller, family man, retired, animals, antiques, politics, our world, science, LibDem, Remainer.",over60
rogervmorgan,"Dad, Accountant, charity trustee, retired clairvoyant, loves sport, like to make my own mind up, and never have enough time to do all that I want.......",over60
Neetaw1,"Mother, wife, retired, love living in a cosmopolitan environment and Pro-EU",over60
Laconic_doc,"Largely retired geriatrician. Love medicine, pts, comms skills & teaching. Curious about too much for my own good; (usu) incorrigible optimist!",over60
janice_ianp,"Semi-retired lecturer, nurse, mom, grandmother. Passionate for NHS, and properly funded End of Life Care. Pro EU. Views are my own.",over60
dochawking,"GP,retired 31.3.13 because of Health & Social Care Act.
Long interest in Health Informatics, esp. UK GP EPRs & single shared records.
John Perry Prize 2009",
PearsLDA,Medical Director @LymeAction retired psychiatrist #lymedisease #science #humanrights #mentalhealth #cats🐱@ResearchGate: https://t.co/xcKBS9wJP9,over60
GrumpyOldDoc,Survived 38 years in NHS; patient and consultant physician; now retired. Call me Dónal.,over60
MadsEmail,Software business retired. Egalitarian Pro EU. Atheist. To the cons we aren’t collateral damage we are krill - money greed and power rules in our fair land,over60
dunkers_helen,"Female, retired teacher. Labour ( rejoined) #FBPE#RevokeA50",over60
Perscotta,"Wife Mum and grandma.  Ex-teacher, ex most things since I retired.   Feel passionately that hurting others by words deeds or ideology is wrong",over60
NigelLloyd10,"Grandy, retired but busy, 70’s teenager, don’t understand where the years went.",over60
JoiaGlass,"Wife & Husband team who worked together designing, producing and marketing glass art now retired",over60
Politics4AR,Barrister (retired); now a grumpy old woman; opposed to all adverse discrimination; vegan; veteran (since 1980) proponent of animal rights.,over60
Stephen19540131,"Love travel, languages, music & news. Semi-retired after 30 yrs a CFO. Future Fiction Writer & NED Married, with 1 engaged daughter Rtws are not endorsements.",over60
Denis_of_Lymm,"Semi- retired web designer & IT Adviser.  Liberal Democrat, Catholic, Catenian, Cyclist, Photographer. My Views are my own",over60
manlygray1,Graham Hankin formerly C/S traveling the world now retired & back in UK,over60
pgmatthew,"Humanist, Liberal, retired Chartered Accountant.",over60
salib0329,"Still licking wounds after being shot in the foot! Multilingual retired teacher from North West Wales. Love my dog, books & garden. #YesCymru 🇪🇺🏴󠁧󠁢󠁷󠁬󠁳󠁿",over60
MarkEuromark,"Taught maths (10y) Ran own  business (33y) English & European. Now retired. Learning German. Partner is Ger. by birth, Brit. by choice. #FBPE #Remain #Rejoin",over60
Alba40,retired NHS nurse british European living in Europe No pension #WASPI No right to vote having my eu citizenship taken away against my will #stopbrexit,over60
rvh1t,retired public servant and cat lover,over60
Pipal1735,"Imps supporter, retired teacher, European.",over60
fbear999,Politically light Blue. Semi retired.  Hoping  for a good  deal on Brexit. Celebrating a great result for British democracy. Want more money for Public services,over60
jonlincbrown,"Pretend retired journalist among many other things. I think poverty is the greatest social injustice. An old fool, who upsets others, but lucky to be much loved",over60
GerdiRunte,"European citizen, retired charity worker, UK citizen, German-born, passionate European and traveller - Life is short, take all it’s worth!",over60
Chlivben,Recently retired Northerner. Would never vote for a Tory. Desperately hoping the system will spare us from leaving the EU.,over60
Cluckyhenny,"Former teacher and swimming instructor, retired, family in UK, have been in Brittany for 15 years, planning to return to Wales soon #Rejoiner 🇪🇺 No DMs please",over60
vmiddleton306,Hi..retired from hairdressing..love travel..history..meeting friends..music Beatles Byrd's James Morrison..lots more.,over60
devoncatt,"Wokingham Borough Councillor, Parish Councillor, Dog Walker, retired Eye Doctor, School Governor , Commited to improving life in Winnersh.
Liberal Democrat",
Markisanders61,"ex asset manager for 37 years now retired and a local school-governor, and involved with local charities ,crystal palace fan and pro Europe",over60
dji45,"Arthritic old git retired from the NHS. Widower who muddles on regardless. Loves ITFC and big fan of Rush, Floyd, Genesis, Marillion etc #FBPE",over60
rushworth_jim,"Liberal, no time for nationalism, massive Leeds Rhinos fan , retired Goth",over60
LordStras,"Lib Dem peer, retired entrepreneur. Trying to protect privacy and democracy from attacks by governments and companies. Supports Bath Rugby despite everything.",over60
jeanmedavis,"Recovering politician, Climate Activist, European, pet carer to Harry & Toby. Enjoying retirement in the Highlands & trying to stay retired! Be kind, run free!!",over60
cjeanbroxmouth,"Brought up in Berwickshire, Scotland, I now live in East Lothian.  I went to Eyemouth High School. Married with a grown up son I am now retired.",over60
g72742503,"Semi-retired, queue-jumping, tax-paying  immigrant since 1979. No benefits ever.  Do I really want to stay? Have to wait and see what happens.",over60
PhilShawLD,Liberal Democrat Town Councillor for Petersfield Ramshill. Made in the Royal Navy then NHS. Now retired.,over60
stephenbrooks02,Management consultant now retired.,over60
helmut_herberth,"👽🇬🇧🇪🇺Happily retired husband and grandpa, grateful to NHS for being alive, passionate rejoiner",over60
MeSaare,"Semi-retired - HUH! teacher, cook, writer, tourism guide & Diva kitten wrangler",over60
gpz01,"Commonwealth Born Ex RAF  semi-retired No Party affiliation  Present FPTP does not reflect voters Results in Voter Polarisation 
Brexit will Unravel Love EU",over60
EleanorKane18,"Proud Scottish wife and mother; retired nurse and passionate about the NHS, politics, news, (gossip) #FBPE #free Nazanin #FBFFFBPEF",over60
rolfesm,Used to teach 16-18 year olds Sociology A level. Mother to 3 stepmother to 1 grandmother to 3. Now joyously retired.,over60
imagine8,"Recently retired Creative Director of Imagine Design. Proud Remainer. Revoke Article 50. Put all lying, cheating Politicians in jail. #FBPE",over60
AstridFel,"I am a retired International Middle School Science, Math, Robotics and exploratory program teacher. Stem and PBL is my expertise.",over60
CornishRandalls,"Legal Eagle (retired!), Golf fanatic/Bandit (some say) Lifelong supporter/ sufferer of BCFC (the Blues), was a VERY proud remainer- now rejoiner( eventually!)",over60
chrismoor,"mostly retired - still busy - music @ Barnes Methodist Church,  Adv Ctee Ethics in Investment Opinions all personal",over60
LMCosts,"Mum, Costs Lawyer, fan of motorbike racing. Love my 2 retired greyhounds and travelling with them in our campervan and caravan. Volunteer at Daybreaks kennels.",
richwinter2,"Likes, Being retired, Lib Dem’s, smokey whiskey, Wasps RFC. Dislikes Tories, Brexit,",over60
jon_media_para,I am a paramedic now retired from NHS after 35 year career. Passionate about our horse and high board diving. Care deeply about wildlife and the environment.,over60
AAGusJones1,Now retired with second career as published author. Scott's Forgotten Surgeon published 2012. Currently engaged researching international organised crime.,over60
Bebe111,"Wife, Mother, Grandmother, Gardener, retired Midwife/nurse, miniature poodle owner.",over60
anna_damski,Semi-retired itinerant; pro-EU activist; Chair of Suffolk EU Alliance.,over60
8rthur2019,"Teacher, electronics engineer retired to la belle France. J'adore le beau paysage, les gens, le vin😉, le vélo
et ma petite chérie. Je suis gallois👍",
Sleighbelles,"Wife, Mother, Grandmother, retired teacher, sometime quilter, costume maker; cooks, bakes, sews, reads, walks, etc etc etc",over60
bathwellschap,Cheerfully retired Bishops' Chaplain; still a chap from Bath &Wells. NB: I've given up Twitter for Lent!,
MnsrMysterioso_,"Pro-Britain, Pro-EU, Pro-France,#PeoplesVote, #RemainAlliance, peace lover, retired engineer, Beatles fan, family man, reject racism, feels better with red wine",over60
DYeandleOBE,Now retired but still an MS Ambassador and member of the PPI Council.,over60
jointhetardis,"UK and France. 35 years in education. SEN. Primary. Secondary. Now retired to support others still in my profession. 
jointhetardis@aol.com
@HEAD2FRANCE",
juliadarwen,"Wife, mother, Gran, Educational Psychologist (retired), theatre-goer, traveller, parkrunner, BRFC. Liberal Democrat councillor - Kendal Town Council",over60
Auntiewow,LLB FSRA retired. Env law and social justice. Passion: co-creation of projects that empower communities.,over60
wgriffiths69,retired firefighter dad grandad wood carver. Cardiff Blues fan since 1973 in good times and bad. All my own views unless I’m told by my wife 😀🏴󠁧󠁢󠁷󠁬󠁳󠁿,over60
JamesDr52781263,All opinions my own. Any Defence commentary is as a retired Infantry Officer. Driven to Twitter due to Brexit and Trump.,over60
