screen_name,description,label,,,,,,,,,
paul_iafrica,30+ years working in various parts of the world. Racism is often seen as being a purely a Western problem - this is not my experience!,31-59,,,,,,,,,
ChisCommons,"180 acres of woods, grassland, heathland and several ponds make up Chislehurst Commons and is voluntarily managed by a Board of Trustees as a registered charity",,,,,,,,,,
krlic1,"13 yrs prison governor grade. 1yr prison reform. 10 yrs research: prisons, policing, surveillance. Aug. 2019: Ministry of Justice, female offenders. Tweets own.",31-59,,,,,,,,,
judeperry98,21 | Sligo.,below30,,,,,,,,,
jeanspence21,"90 year old silver surfer. Mum, Nan, and Great Nan still enjoying life.",over60,,,,,,,,,
zerowastz,12 steps to a waste free lifestyle. Turn your community waste free - email zerowastz@gmail.com. Or sign up here - https://t.co/iO3ZjKOUGW,,,,,,,,,,
BethanyStelling,"18, Conservative, A-Level Politics Student, Aspiring Barrister 🇬🇧",below30,,,,,,,,,
johash_123,"37, Conservative, 🇬🇧 Brexiteer 🇬🇧",31-59,,,,,,,,,
SuttonTories,"18 councillors, 100s of volunteers, GLA Member Steve O’Connell, Paul Scully MP and Elliot Colburn MP. Working hard to unlock Sutton's potential.",,,,,,,,,,
Aegian1507,"22. History, Politics & My Opinions.",below30,,,,,,,,,
pennylongstckng,"29YO. MSc Maths, Languages, Political &  Cat loving Mother of one, former EYFS staff, guest-blogging, Pro-life, Tory since 2007. I BLOCK A LOT.",below30,,,,,,,,,
MattMcNaught123,17.4 million people voted to leave the European Union. That vote MUST be respected #backboris,,,,,,,,,,
thomas_ashby_,20 | snapchat tashby99 | instagram ashby_thomas | Gym 🏋️‍♂️ | Witney Town Councillor for Witney West Ward | Email:  thomas.ashby@witney-tc.gov.uk,below30,,,,,,,,,
F1Chris1965,"54, My loves in life are Ferrari F1 team, Daniel Ricciardo, Tottenham Hotspur, AC/DC, wine, curry, conservative party, Apple, not necessarily in that order!",31-59,,,,,,,,,
_JacobHolme,20 /Yorkshire🇬🇧/ Social Liberal / Retweets are not endorsements,below30,,,,,,,,,
ReddanDylan,18 • Conservative • #BackBoris • #standwithhk,below30,,,,,,,,,
MagicDC2,50幾啊伯,,,,,,,,,,
WillMartinUK,18 • red tory,below30,,,,,,,,,
Elliot032003,31/1/2020 We gained independence,,,,,,,,,,
FlippantCactus,"22, gay - If you met me you'd know why I'm also single.
Like: 
- Honesty
- Live Music
- Hot guys

Dislike:
- People who are cunts",below30,,,,,,,,,
GeorgeLawley,22. Conservative. Work in Parliament and Trustee @gapafrica. History BA (Hons). Politics Mad. Mental Health Enthusiast. All poorly spelt views are my own.,below30,,,,,,,,,
creynolds094,20 going on 21 years old.,below30,,,,,,,,,
MCSion67,"19yo, Cardiff Uni, Archaeology and History 📚 | Patriotic Tory @Conservatives | A *gasp* homosexual! | I have two priorities in life: Boys and Brexit 🏳️‍🌈🇬🇧",below30,,,,,,,,,
JoshM1309,17 - Executive @climatetories - 🎷- 🏳️‍🌈🇬🇧🇹🇹,below30,,,,,,,,,
MeCookieMonsta,23 London,below30,,,,,,,,,
EmmsAaron,15  @Young_Tories and @blue_Beyond_ member. Brexiteer and Motorsport Fanatic. Working to end the Digital Divide.,below30,,,,,,,,,
NickGething,"50-something husband, father, Conservative Councillor and solicitor with delusions of personality.",31-59,,,,,,,,,
harrynoble__,"17, @conservatives",below30,,,,,,,,,
AlastairJT,21 | University Of Bath Economics & Politics student | Conservative | Activist for Cardiac Health Reform,below30,,,,,,,,,
AliBPCC,22/Christian/#kidsmin/@Chrleft /Newcastle United/Woking FC/Bibliophile/Eurovision,below30,,,,,,,,,
phil_dfc,"26...@dartfordfc⚽️ Train Driver🚅. Tory 💙,  🇻🇦Professional Third Wheel🙋🏻‍♂️ 💫insta: PhilG014",below30,,,,,,,,,
Mitch20015,18 - Interested in 🇬🇧🇺🇸🇨🇦🇪🇺 politics. #TreeHugger #Lexit #AlohaGang 🇬🇧🏴󠁧󠁢󠁥󠁮󠁧󠁿➡️🌸🌺🌻🌹🧢🐱🐶,below30,,,,,,,,,
MattSmithWales,2017 Welsh Tory Candidate for Cardiff West. Born and bred Cardiffian. Lawyer. Blue Collar Conservative. Former Vote Leave Policy Analyst 🏴󠁧󠁢󠁷󠁬󠁳󠁿🌼,,,,,,,,,,
GeorgeDormer2,20 • Second Year @BirdCollegeUK •,below30,,,,,,,,,
sarawestlondon,25 | Entrepreneur | Former PPC West Ham GE2019 | Animal welfare | Criminal Justice | Instagram: @sarawestlondon | @csjthinktank | Retweets not endorsements |,below30,,,,,,,,,
haywards_db,35| 🇬🇧| @Conservatives and Unionist Party member| Democrat| #GetBrexitDone| Retweets/Likes not necessarily an endorsement.,31-59,,,,,,,,,
AlexJacklin,18 - @blue_beyond_ - Boston/Notts - @TrentUni,below30,,,,,,,,,
davsanelkin,12 years of retirement and still enjoying every moment.,over60,,,,,,,,,
torygossipgirl,"26. @conservatives member. Usually found eating, dancing, knitting or shopping 💕 (views=own, RT/likes≠endorsement)",below30,,,,,,,,,
NickFudge63,"2018 and 2019 Conservative Council Candidate for Minster Ward in Reading & campaigned for a Safer, Cleaner and Fairer Minster Ward for 'ALL' our residents",,,,,,,,,,
tmarino1,"27, Reading, Caseworker at U.K. Parliament, Tilehurst Parish Councillor, Conservative Councillor for Tilehurst and Purley, all views my own.",below30,,,,,,,,,
AdamStockers,"23 Tory Boy/1 time Cllr/ Stapleford.
@blue_beyond_ member.
Pitt, Liverpool, Peel, Churchill& Thatcher are our greatest PMs.
History fan as well as politics",below30,,,,,,,,,
craigrpegg,99% perfect 1% arsehole,,,,,,,,,,
kevina364,"43, News, Sport,Politics & Polling with my right wing Libertarian views thrown in from time to time. For an EFTA Brexit which upsets some on both sides.",31-59,,,,,,,,,
kimberleypipet,"50+ yrs in South Africa, now observing the world from my eyrie in the Highlands of Scotland ~ liking & retweeting from all sides of the spectrum, organic crazy",over60,,,,,,,,,
MaryDenise22,1950s woman waiting for pension  Good sense of Humour ..,over60,,,,,,,,,
CelebrityJoel,17 | | Conservative | Retweets/Likes ≠ Endorsement |,below30,,,,,,,,,
lukephythian,21|Hannah❤|AVFC🦁,below30,,,,,,,,,
CallumB95111118,18 Pro british Pro trump one of the youth that stood up for brexit Churchill Powell buchanan farage unionist politics tory  rangers fc millwall fc christain,below30,,,,,,,,,
MattBurke_97,22 years old University of Southampton Graduate. Work in insurance in Manchester. West Ham United fan.,below30,,,,,,,,,
EGodsi,18. Jewish. Half blind. Author. Tory member. Committee member @YCbarnet. Member @ClimateTories @blue_beyond_  @CFoi @wearecfindia @ToryReformGroup,below30,,,,,,,,,
JacobNewman2000,"19. One Nation Conservative. 
Dreadful Cricketer. 
Columnist for @NewGlobalOnline",below30,,,,,,,,,
martin97903661,"100% Remain, 100% Anti-Tory, Voting to dump Tory at all cost Save NHS, Save all Services, Fix Destitution, Fix Rail, Gas, Electric, Water, etc.",,,,,,,,,,
Snoozette1,"2016: Voted Leave - regretted it immediately &
campaigned to StopBrexit | 2019: Voted Remain - I will always be European. I will always be a #RemainerNow",,,,,,,,,,
JamesMcHale99,"20 !! Young Ambassador @Autism, Hate Crime Scrutiny Panel, medievalist, gay, he/him/they/them 🌈 doing a marathon for suicide prevention, pls sponsor me x",below30,,,,,,,,,
MatthewRNash,"44 year old UK/US lawyer, sci-fi fan, bon viveur and owner of Penny, labradoodle.",31-59,,,,,,,,,
alexxxbrookss,21 | MSc Microbiology and Infection student @UoBbiosciences | Social liberal | Secular humanist | WTA fan 🎾 🌳,below30,,,,,,,,,
marcusjdking,17 - NSB Tory member since 2017 🏴󠁧󠁢󠁥󠁮󠁧󠁿🇬🇧🇺🇸,below30,,,,,,,,,
FountainJake200,"17, Northants",below30,,,,,,,,,
JCharRoL,2019 Churchill Fellow - Legal Educator - Court Junkie and unashamed Law Nerd. Clerk of Chambers - Level 22 Chambers. Views are my own.,,,,,,,,,,
LegolasRedbard,"17. Social Democrat, Eurovision Fan, Fool. European, but anti-EU.",below30,,,,,,,,,
chloeatkins1960,50 plus some time cross dresser wltm people with similar likes. Could use help with hair and make up. Likes to give or receive spankings. Happy to chat,31-59,,,,,,,,,
MaXFalstein,"25
Technology Architect
CEO, CET, Founder
Entrepreneur, Investor
Chair of 🤭 & 🤫
Author
🏎🚙🚛🚜🚁✈️🛩🚀🛰 Engineer
AI, AR, NFV, Photon 🖥 Researcher
📷📹🎥🎮",below30,,,,,,,,,
tonnic,21st Century Science major,,,,,,,,,,
RobertJFBarnes1,54 year old #Leeds Loiner #Brexiteer Contributor to @getbritainout,31-59,,,,,,,,,
GBC_TFP,50.  Semi retired. Ex 🚓+🚒 @ucgup,over60,,,,,,,,,
Robbyeaton,100% LCFC Fan .Married with a Son & Daughter with2 grandsons & 2 grand daughters 😩 Education “Life” all tweets are mine alone,,,,,,,,,,
CharLeach24x,28. Senior Consultant @lexcommnorth. Conservative Councillor for Mobberley Ward on Cheshire East Council & Shadow Cabinet Member. Former Parliamentary Staffer.,below30,,,,,,,,,
JamesJacksonQT,16 🦊 Law Student ⚖️ Conservative & Unionist Party Member 🌳 Blue Beyond 💙 Army Cadet ⚜️ Free-Market Environmentalist 🌏 Laissez-Faire Capitalist 💸,below30,,,,,,,,,
markcooper2805,"84% of voters in GE17 voted for parties that support Brexit. Not a hard or soft Brexit, but simply Brexit. Let's now hold those parties to their word.",,,,,,,,,,
soyoprincess,"50 summat insolent harridan. Likes good food, baking, crafts, travel, opera. Dislikes champagne socialists, trolls & mind readers who tell me what I voted for.",,,,,,,,,,
Legocountyfan,18 yo | Northern Eurosceptic | Rule Britannia,below30,,,,,,,,,
Taf2311,"50 something barrow boy with a passion for family, rugby, enterprise...and the mighty Arsenal",31-59,,,,,,,,,
NotoriousMubz,23. Software Engineer. IG and SC: Mubzy96 YouTube channel: MubzyTV,below30,,,,,,,,,
KimeDenise,"71 years old, heartbroken mother. Please don't DM me. I won't answer, sorry.",over60,,,,,,,,,
bexaxaxa,18 London,below30,,,,,,,,,
WayFlibertLcfc,31st January 2020 - National Independence Day 🎉🇬🇧#LeaveMeansLeave #NeverCorbyn #BackBoris LCFC Fan.,,,,,,,,,,
Sunpoches,"52% Pro Brexit: 48% Anti EU #ManagedNoDeal - WTO, then FTA.. Sunlit Uplands = Sovereignty #FBPD
Social Conservative, Global UK, #StandUp4Brexit, Free Markets",,,,,,,,,,
Jordanpenketh,"17 year old Conservative party member, political obsessive, @michaelgove Stan and cricket lover🏏🏴󠁧󠁢󠁥󠁮󠁧󠁿. Grammatically inept. Member of @blue_beyond_.",below30,,,,,,,,,
andytheman81,38 yrs old partner of @sexyemmabutt lifetime supporter of arsenal love life and family big sopranos fan also door supervisor,31-59,,,,,,,,,
nellonthemelon,17 🌳@blue_beyond_ and @ClimateTories 💙 Dehenna’s #1 stan and the biggest capitalist clown 🤡 RTs do not equal endorsement,below30,,,,,,,,,
Ben23Cooper,22. Past-President @DUConservatives. Alumnus @GeogDurham @durhamunion. Proud Cumbrian 🇬🇧,below30,,,,,,,,,
GeorgeCoombs17,"72 years old, much of my life in brighton and hove",over60,,,,,,,,,
Tonytodd1977,"18 years in household cavalry. 4 and a half years on tour, love my family and friends. clip your ego. pro logic. don’t need a # tools",31-59,,,,,,,,,
EviePattersonUK,15 • Autistic• Young Conservative Member• Beaconsfield Conservative Association• Brexiteer• @PennyMordaunt is my favourite politician. #Joy4Beaconsfield,below30,,,,,,,,,
DeniseMcilvaney,"50 ish 4 great sons!! cleaning supervisor.
 very interested in Geneolog",31-59,,,,,,,,,
Oscar8192,26   /   Eagles 🦅   /   Conservative,below30,,,,,,,,,
Ben_RLee,"21 | BA Archaeology, Newcastle University | 🇬🇧 |🌳",below30,,,,,,,,,
hattiepolitics,23 ⭐️ Physics grad 👩🏻‍🔬 @Conservatives 🇬🇧,below30,,,,,,,,,
HornbyJack,25 | @conservatives District and Town Councillor for Wymondham | Deputy Mayor of Wymondham   All views are mine,below30,,,,,,,,,
askhutch,"69 years young, now retired after 50 brilliant years in the Motor Trade. Now a commercial property landlord & property developer.",over60,,,,,,,,,
ryan_brexit,21 yr and Conservative party Parish Councillor for Wistaston Green Ward #BackBoris suffered from Cerebral palsy.,below30,,,,,,,,,
papaknowland,"50 something. Husband to Mia, dad to Daisy. Sausage dog called Poppy. Swim. Bike. Run. And any event with mud.",31-59,,,,,,,,,
ryanorourke_,20 🇬🇧 | Canterbury | Gen. Secretary @KUCAKENT | Economics 👨‍🎓 @UniKent | Opinions are unoriginal but my RTs are pretty swell. @bluebeyond_ @bca_eco #CANZUK,below30,,,,,,,,,
Consumers4B,17.4 million leave voters CAN influence the Brexit process. Buy local or buy global. Make your pound count.,,,,,,,,,,
joshuajturner21,18 | essex. durham university,below30,,,,,,,,,
JohnMc_UK,21 | Countryside born | City boy now,below30,,,,,,,,,
chloealr,22 • dorset gal living in hampshire • foodie • cat mum • staffer in westminster • proving ‘tory’ isn’t a dirty word,below30,,,,,,,,,
goldsborohall,"400yr old Stately Home offering Luxury Accommodation, Fine Dining, Royal Afternoon Teas and Historic Gardens to explore. Tag your visit #goldsboroughhall",,,,,,,,,,
MRJWW98,"21 • Conservative • As seen on Sky News, C-Span, BBC One, BBC Two and BBC Parliament• Usually on holiday somewhere hot🌴",below30,,,,,,,,,
AidenLeeds,29 Leeds North England. Yorkshire Periscope: | AidenLeeds Snapchat: | Instagram : - aidenleeds1 | LUFC,below30,,,,,,,,,
HHrocknroll,"50’s girl with old fashioned values,appreciates manners, morals, ambition,red lippy and the RocknRoll legend that was Rusty Lupton 🎹 #foreverakingcatmissing",31-59,,,,,,,,,
aswelly366,"22 years army, now self employed gas engineer and semi professional poker player, 1892 was a good year.  Full on Brexit 👍🇬🇧🏴󠁧󠁢󠁥󠁮󠁧󠁿.",below30,,,,,,,,,
GeorgieGalpin,19 ▫️ One-Nation Tory ▫️ University Of Nottingham,below30,,,,,,,,,
BethSkelham,"22, LSE Graduate. Conservative. Parish Councillor in Sutton.",below30,,,,,,,,,
JordanLC95,"24 | Brexiteer | British Irish 🇬🇧🇮🇪| UK | “The measure may be thought bold, but I am of the opinion the boldest are the safest”. Horatio Nelson.",below30,,,,,,,,,
Adey1956,"63 years old, despised EU for most of it.",over60,,,,,,,,,
James_Viv,20 | politically & emotionally repressed | outreach officer for @pakc_ | treasurer for @LibDem13 | co-host on @backbencherspod,below30,,,,,,,,,
jose_jffontes,"21 años 🇧🇷🇨🇱 Iquiqueño, Estudiante de Derecho UC.",below30,,,,,,,,,
Declan_G98,21 - 🏳️‍🌈 - Durham/Stirling - Deputy Chairman of South Durham Young Conservatives 🌳🇬🇧 - Retweets aren’t necessarily endorsements - Views are my own,below30,,,,,,,,,
AlexWilkins02,18 years old - Politics enthusiast - Conservative - Brexiteer,below30,,,,,,,,,
daniel_sydenham,22 | Work in Parliament | MSc Public Policy @ UCL | Kent Uni Grad |🇬🇧 Fairly Centrist Tory,below30,,,,,,,,,
alice_2618,16 | london | student | vegan,below30,,,,,,,,,
TotallyFD,2019 Finalist “FD of the Year” @#BritishAccountancyAwards. A highly motivated professional who relishes a challenge and works with pride to achieve results.,,,,,,,,,,
IlxJack,"22, 
little bit of an avgeek",below30,,,,,,,,,
missrebel_UK,20 something 😉 // London gal // Brexiteer 🇬🇧,below30,,,,,,,,,
Patrick_981,21~🏳️‍🌈/ Member of the Conservative Party/ PMO @blue_beyond_/ Policy Researcher @BCA_eco,below30,,,,,,,,,
NCurrie8,"52%er. Centre right. #StandUp4Brexit
Tory or Brexit Party? Yet to decide.",,,,,,,,,,
hb1999hb,20 • Arsenal,below30,,,,,,,,,
shoebhakim,14+ yrs in Financial Crimes & Legal Compliance. 8 yrs PQE as Corporate Legal Counsel. Anti Forensic Advocate. Tweets not opinion/endorsement,31-59,,,,,,,,,
misterjaydee,38 | 6ft3in | British | accountancy sales manager | movie and music fanatic | laid-back Uncle | tea-drinker | spectacles wearer | all dark thoughts are my own,31-59,,,,,,,,,
tegidguto,"18, Ynys Môn. PPL at King’s.",below30,,,,,,,,,
VexedApple,"34 year old Formula 1 fan, Man Utd, Father, Blogger, Writer, Manager, Founder, Wordsmith, Author? Website designer",31-59,,,,,,,,,
MummyGye,"40 years in the voluntary sector. Mother of a teacher, a nurse, a speech & language therapist, a charity professional and a journalist. Grandmother of a baby.",over60,,,,,,,,,
charlespartos,"52 ,married to Michelle. Two gorgeous daughters, 2 ugly dogs,",31-59,,,,,,,,,
georgina_toon,21,below30,,,,,,,,,
JohnMousey1,"15 years a front line Light Infantry  Soldier. 22 years a fully operational front line Cop. 
Now in a good place ambulance driving and travelling the world.😊",,,,,,,,,,
JustCogz,22 || Devon,below30,,,,,,,,,
chloeisla_,20 🌱 all your dreams are made in strawberry lemonade,,,,,,,,,,
AndrewLeo1968,"50+. A passion for history. I am a very busy Administrator & often a bewildered one!
Love Rugby Union & reading. Enjoy sea cruises. Shy & introverted generally.",31-59,,,,,,,,,
jakewgilbert,18 | @conservatives | @blue_beyond_ |,below30,,,,,,,,,
LJH_11076122,"20, British, Christian and a conservative. Pro-Israel and pro-life.",below30,,,,,,,,,
RowanSalmon,20 | Conservative Party Member | Brexiteer | Royalist | Leicester Tigers | LCFC | Candidate for Leicester City Election 2019 | #BeKind | Views are my own,below30,,,,,,,,,
BraisbyI,"25 years in IT, Dusseldorf, Milan, Zurich, Paris, now working back in UK with my wife (Jenny). Love Photography & Lifelong LFC Fan, very rarely reply to DM's",31-59,,,,,,,,,
georgecookk29,"19
UoR",below30,,,,,,,,,
mboes73,14yr Veteran SRIG/C3ISR OEF/OIF Formula One Geek #F2 #NatSec #NATO #UN #WEC #WTCR #Dakkar #Whodat #LSU #Tulane,31-59,,,,,,,,,
BenBradshaw_1,21|NEW ACCOUNT|BETHANY❤️,below30,,,,,,,,,
luke_hawksley,21 / Member of the Conservative Party / GET BREXIT DONE /,below30,,,,,,,,,
bethbutlerxo,22 | Learning Support Practitioner 👩‍🎓 | 📷 @bxthbutlxr_,below30,,,,,,,,,
h3adsh0tzz,"18 | 🇬🇧 | University of Hertfordshire, Software developer & iOS Security enthusiast. | #nanogang.",below30,,,,,,,,,
DonoghueImmy,19 // music student. insta: immyodon xox,below30,,,,,,,,,
llanerchymedd12,62 single male no significant other. Welsh speaker who has retired to N Wales 2 female kittens. like You Tube old films reading and Liverpool F.C.,over60,,,,,,,,,
mattcarter425,18 - Biomedical Student 👨🏼‍🎓 🧬🧪👨🏼‍🔬,below30,,,,,,,,,
CPWardle,"28, from Newport Pagnell, MK. Accountant. Conservative. Newport Pagnell South MK Council candidate 2014, 2015 & 2019. SAFC & MK Dons fan. All views are my own.",below30,,,,,,,,,
_JordanPayne,23 | Political Assistant to the MK Conservative Council Group | Views my own,below30,,,,,,,,,
ToriaidSirGar,2019 Ymgeisydd y Ceidwadwyr yn Nwyrain Caerfyrddin a Dinefŵr - #SicrhauBrexit |  Carmarthen East & Dinefwr Conservatives 2019 Candidate - Let's #BrexitDone,,,,,,,,,,
TomVines9,23 - Farmer - Herefordshire 🌾 Harper Adams Grad 🎓,below30,,,,,,,,,
janef1961,"30 years in Public Sector management. Horse owner, amateur cook, skier, gardener. Interested in Social Policy.",31-59,,,,,,,,,
GeorgiaBolton22,"18, from Cornwall and a Student at Downside School.",below30,,,,,,,,,
Luke_Rann,"27 year old father, Conservative and film fan. My views are my own and not any reflection of any employer or agency I am associated with.",below30,,,,,,,,,
CkbacookAnn,1950's born lady who has had pension stolen after paid taxes and NI as professional 'career' musician & peripatetic music teacher for 4 decades Trolls blocked.,over60,,,,,,,,,
dom___kelly,21 | Surrey ➡️ Loughborough University 👨🏼‍🎓🏉 On placement in London. @Conservatives,below30,,,,,,,,,
RosyAlpaca,"21 year old British Student and aspiring Pilot. Hobbies: Graphic Design, Video Games, Football and Politics",below30,,,,,,,,,
JaydeTEdwards,20 Years Old. Passionate about providing positive change for all people. Serving a collective dream to make our country great. #VoteConservative,below30,,,,,,,,,
taylorndavid,20 🐙,below30,,,,,,,,,
lacey_butcher,22. Estate Agent. From Dorset. Living in London. Politics grad. Young Tory. Part of the 52% 🇬🇧,below30,,,,,,,,,
Nolan_q,2019 has been a great year 👍 But the fight against Socialism is not over yet.,,,,,,,,,,
mydoctrinesays,"21, 🏴󠁧󠁢󠁥󠁮󠁧󠁿 in 🏴󠁧󠁢󠁳󠁣󠁴󠁿, Philosophy and Politics major, boredom enthusiast, and collector of useless surface knowledge. Zoomer | INTP-A.",below30,,,,,,,,,
Callumswx,21,below30,,,,,,,,,
m_cherriman,"30 something bean counter, arsenal fan, infrequent golfer, gym lover, knower of random facts and so much more",31-59,,,,,,,,,
dpphinn,23 | Glasgow |Trainee Solicitor,below30,,,,,,,,,
aliceporter123,22; professional dancer. Represented by Love Rudeye | Event Model Management | Lindt Creative | Alexander Baker Management | Gawz Dance Agency 💃🏼,below30,,,,,,,,,
AestheticSigh,22. Scot. Student. LGBT. Unionist. Working Class. Leaver. Social Democrat / Civic Nationalist. No current party.,below30,,,,,,,,,
MollieW152,22 - law graduate - Brexiteer,below30,,,,,,,,,
robpatterson24,"33 • Londoner living in Lincoln • West Ham STH, Block 216 • Product Manager, BT • All comments are my own opinions, not that of my employer",31-59,,,,,,,,,
HarryButtery2,"18 years old 

 WAWAW💙 #swfc",below30,,,,,,,,,
eviejdodd,16. 🇬🇧Tories n Toblerone👌🏼,below30,,,,,,,,,
richardbullard2,"33 years teaching, 15 years a Head, but not now. Trustee of @itsinthebag & @S_familychange. Follow @bathrugby, @only1argyle. My views.",over60,,,,,,,,,
duncanmmv,"26.2,13.1, Traveller, Beer lover",,,,,,,,,,
OliveEaton16,"12:00 on 23.07.2019 election of BJ, a.k.a Alexander Johnson, a.k.a Britain Trump, we reach bottom, Dante's Hell, a cold place without truth: shameless deceit",,,,,,,,,,
Chris_Worrall_,25 | 🦊 | A what I call Ginger,below30,,,,,,,,,
MatteyJonny,19 #readingfc,below30,,,,,,,,,
waltwalsh,"25 years a professional photographer  
 Director of fashion company Balynon 

Please No DM's or Catfish",31-59,,,,,,,,,
onlyconnect71,79 year old liberal Remainer. Retired from education. #FBPE #RevokeArt.50,over60,,,,,,,,,
bf59oeo,50 year old boy. married to a very patient Kim. going through midlife crisis at the moment. back in gym having tattoos,31-59,,,,,,,,,
CrabbyValiant,"52 yr old dad to 2 great kids, husband to a fantastic wife and who loves Port Vale & Punk Rock",31-59,,,,,,,,,
MaggieD09863592,76 and not very rich,over60,,,,,,,,,
StevenTCShearer,"21 | Computing Student | Celtic 🍀 | Tweets nonsense primarily about politics. Sometimes about football, rarely anything else. #BEYOND, #DUCKHUNT & #SCOOP!",below30,,,,,,,,,
GHNeedham,24 y/o septuagenarian. Eurosceptic Liberal. Hate the state. Barnsley through and through. WARNING: Drunken outbursts likely.,below30,,,,,,,,,
lester_hickling,"36yrs Labour member, Unite,Momentum,medium size Business owner, looking for a fair unbiased media.retweet’s do not signify agreement or support,don’t answer DMs",31-59,,,,,,,,,
willpaddyg,21 year old interested in interesting things. Chinese and Arabic at Leeds. Disaffected One Nation Tory.,below30,,,,,,,,,
AlexHuntUK,"17, Student. Studying Law, Politics & Economics @qmcollege 📚🗳📈 @ChelseaFC⚽️NW Hampshire Conservatives🗳 #GotBrexitDone on #31stJan 🇬🇧 👻alexeuk1👻",below30,,,,,,,,,
therobertsadam,15// Tory activist // classical liberal conservative // Walkington // @blue_beyond_ 'supporter' // @1922yc member,below30,,,,,,,,,
AStrodeGibbons,"25 years experience in finance gets fast results while still remaining customer focused, for a slick end result.Millwall til I die Milllllllllll",below30,,,,,,,,,
Dave6027087,29 I had my Twitter birthday lol,below30,,,,,,,,,
J888gmt,22 | here if anyone needs to vent or say anything!,below30,,,,,,,,,
tomwust_,"21, Business Student & Scholar @UniKent_Music @Young_Tories co-ordinator for @TelfordTories Hollinswood & Randlay Parish Cllr 🇬🇧🌳",below30,,,,,,,,,
51moves,"51 moves, 37 different placements & 33 convictions before turning my life around at 17 making positive changes. Currently writing book number 2. #51moves #ECLCM",,,,,,,,,,
dunkleybrighton,"22 year old. Conservative and Unionist 🇬🇧 Political economy student. 

#GotBrexitDone",below30,,,,,,,,,
routen,"30 years working on government contracts delivering support to people and employers. A Parish Councillor 5 yrs. Love my husband, family, my dog's and walking.",,,,,,,,,,
EUtreaty57,100% European 🇪🇺🍾,,,,,,,,,,
