,screen_name,name,description,female
339,rakehurst2,Oscar13,Proud Brexiteer. I have just entered my ninth decade of life’s experience. Many good things have happened but many bad things too. Bad parenting is my pet hate!,
340,armdpm,Dave McKay,Retired. Supporter of The Union 🇬🇧🇬🇧🇬🇧🇬🇧,2
357,theresjenn,Theresia J. Krotzky,"...Take me back in time, maybe I can forget. Turn a different corner and we would never have met. Would you care... https://t.co/oGeOhHoTF4",1
385,DennisCMcMahon,Dennis McMahon,"lawyer, writer, radio and television producer;",2
406,Janemaryrichard,Jane Richard,,1
449,BoycottFamilyLw,#BoycottFamilyLaw,If we starve the fuel ( Money) from this industry we stand a better chance to see JUSTICE!,
471,RSixtyeight,Reds_Sixtyeight,,
497,DrapedinDeceit,Mandy D Charles,"I am a self published author from rural Lincolnshire in England. I'm currently in the process of writing my four part series, Draped in Deceit.",
544,SileER,SileER,"Loves dogs, pigs, donkeys. Arsenal9why, I don't know anymore) R.C. Brexit. Loathe cruelty to the vulnerable. RT's not endorsement etc.",
563,AlanK1yrk15,ozzy kirk,,
570,miguelsampainho,Miguel Sampainho,volleyball player n2 alcanena ig: m_sampainho,2
589,William86434670,William Hamilton,,2
628,Jimh420,Jimh420,Fan of Gerald Durrell and Whit Stillman,
636,FMoghalu,ForKingsleyMoghalu,,
652,TrueEngland,England,"THFC. Brexit. London today is a crime riddled dump due to mass immigration, wasn’t like it before.",
696,HorshamGardener,Geoff - 🇬🇧 Britain is Back from the Wilderness,"Cancer survivor. Horticulturalist. Have my own business. Member of the Chartered Institute of Horticulture and The Gardeners Guild.
 Veni Vidi Vici",
713,DHSunderland,Dave Sunderland,,2
740,butterworthj6,Julie Potts,1st Class History graduate Masters in History                   PGCE,1
782,jowhitmore5,jo whitmore,,
797,D_jRoberts,Dorothy Roberts,"Cllr for Ercall Ward, Wellington, Shropshire, Town Council. Opinions are my own.",1
815,daheinen,-,,
824,Tory2k19,🇸🇦Muhammad Ishmael Al-Ahmadi 🇸🇦,🇸🇦Ishmael🇸🇦20🇸🇦Revert to Islam ☪️🇸🇦,
836,TellyGeorge2,Telly George I,"A fictional Cyborg character from a children's picture book titled: The Run Away Telly 📺👋 George. An adventurous, friendly, Cyborg. 😀Author: Elizabeth Barnes",
872,greenjo718,Tom Smith,,2
873,ratorrehouse,Cicero,,2
887,CantLikeTheMike,MikeyTheTory,"17 Year Old From Leicester 
💙Conservative💙
❤Leicester City Football Club❤",2
907,Oldbutthappy,Tony bartlett,,
914,lingy1603,Jack Ling,"lets get the west minster chimes on the 31.01.20                     
Im Going To Have Some Ribena",2
917,melanie11137,Honesty,dream of radio work or writing dramas n films massive love of the ocean and animals and egyptology love travelling,
936,Boudicathebrit,Boudica,,
955,paullin69457812,paullindsay,l,
967,NotThatBigIan,Ian Acheson,"Irish Unionist. Unbiddable Tory. Recovered Mandarin. Visiting professor at Staffordshire Uni. 
Prisons, police, terrorism & combating violent extremism R us.",2
969,HMRCVictim,HMRC Victim #STOPtheLoanCharge #SaveLives! #IR35,"Speaking out against the #LoanCharge. 100,000 people are being denied their statutory rights because, in HMRC’s “opinion”, they don’t deserve a fair hearing.",
992,samdwebber,Sam Webber,"Work at @Vuelio/@Vuelio_Politics, (fmrly @politicshome/@CentralLobby), @BromleyLibDems mbr. Married to @Vickilovescake & Daddy to Matilda. 
RTs ≠ endorsements.",
998,julesandthepups,jules,,
1011,jdmchislehurst,Jonathon de Maid,"No 1 for property in Chislehurst, one the finest villages in SE London.",
1014,HWSB_2,HardWorkingSmallBusiness2,Err...,
1025,ChisCommons,Chislehurst Commons,"180 acres of woods, grassland, heathland and several ponds make up Chislehurst Commons and is voluntarily managed by a Board of Trustees as a registered charity",
1059,RicScott8,Ric Scott 🇬🇧 🇬🇬,"Socialism is a philosophy of failure, the creed of ignorance, and the gospel of envy. 
Its inherent virtue is the equal sharing of misery. 

Winston Churchill",
1060,Downsviewduo,John J,"When you're pushed, killing is as easy as breathing.....",2
1064,Keith53yrsAV,Keefy,love the outdoors on our boat. holidays with my wonderful wife and loads more with family and 4 wonderful grand children 😇 27/4/17 I finally retire 🍾⛱🎣🍷🍺,
1076,krlic1,marija ,"13 yrs prison governor grade. 1yr prison reform. 10 yrs research: prisons, policing, surveillance. Aug. 2019: Ministry of Justice, female offenders. Tweets own.",1
1098,DynamicNI,DynamicNI,Communications consultancy led by Neil Johnston,
1103,NaomiJHolland,Naomi Holland,Broadcast Journalist @BBCNI. IRN Newsreader of the Year 2016. All views and RTs are my own.,1
1108,chrisquinnandun,Chris,,2
1124,conistonhotel,Coniston Hotel Country Estate & Spa,"Hotel | 2 AA Rosette Restaurant, Macleod’s | Award-Winning Spa | Weddings | Conferences & Events | Off-Road Centre | Shooting Ground",
1138,CrozierKeir,Keir Crozier,Honorary Secretary of the QUB Conservative and Unionist Society,
1143,IngeCommissaris,Inge Commissaris,Weledelgestrenge vrouwe in correspondentie | Worldchamp | Love life | Interested in the world | Always finding and connecting challenging people.,
1213,petercardwell,Peter Cardwell,"Former SpAd to Justice Secretary, Housing Secretary, Home Secretary and NI Secretary, now on sabbatical. Chairman @GeddesTrust. Award-winning broadcaster.",2
1222,poneill17,Patrick Joseph Maginn ONeill,Patrick oneill from West Belfast 29,2
1228,uncleporkie,Pamela Donaldson,"Years of publishing, retail and broking experience resulting in a wealth of common sense, cynical humour & expectation.",1
1229,Catherinejane,scj,,
1243,andygubbins,Andy Gubbins,"Learning to express and engage in church, school & community...",
1247,ccat446,Chris Kelsey,Views are strictly my own. Retweets do not necessarily mean endorsement - might be just interest,2
1270,SS698,Stephen Savage,"Development Manager of New Driver NI,a publication promoting safe driving to young motorists and Taxi Driver NI. Also Chairperson of Mid Down MS Support Group.",2
1308,laurabeth_t,Laura-Beth Thompson,"Young Conservative officer for #RDCA, #Lancashire area & #Northwest #youngconservatives",1
1323,yawdrah,36grit,,
1367,south_suffolk,South Suffolk Conservatives,"The official twitter for South Suffolk Conservatives.

Promoted by L Malvisi on behalf of South Suffolk Conservatives, both at 4 Byford Road, Sudbury, CO10 2YG",
1385,HeathenGoonerUK,Rob Fuller (Human),"Artist, Atheist, Arsenal Fan. Tweeting opinions on Secularism, Brexit & of course, Football. A rational, happy-go-lucky, agoraphobic human.",
1395,mick_fraser,Mick Fraser,Ex military Suffolk County Council councillor (C) for Hadleigh division.,2
1402,FriseSally,Sally frise,Quaker. Conservative. Animal mad. Pudding and jam maker.. Music and book lover. Ballet and opera. Gardening,1
1406,susanhide2,susanhide,,1
1417,JamesCo14174624,James Coley,"A thinker who loves/hates politics. Communism/Socialism is slavery to the faceless state. 
Libertarian, Small government, screw corporations. I block labour",2
1440,BlairWi59152961,Blair Williams,"Loves Politics and follows Conservative Party and PM Boris Johnson. Will be following Conservative MP's in Parliament
Following President J Trump & Republicans",
1452,TerrySmyth4,Dr. Terry Smyth,"Community Fellow, History Department, Essex University. PhD:  researched the children of Far East Prisoners of War. Governor at Colchester Institute.",
1507,steve_reade,Cllr Steve Reade,"Conservative councillor 
 for Boyd valley
Executive member for Planning Transport and Strategic Environment and housing delivery",
1523,grancake,s clinton,Hands on Gran cares about life.Change the world if I could.History fanatic.,
1525,michaelwhite1,Michael White,Digital strategist and content specialist. Senior Consultant at @KekstCNC. Digital Group at @PRCA. Public Relations Blogger. Views are my own.,2
1539,Ta55660738Fiona,Miss Tartan,Both Scottish and British.,1
1590,strawfie,Strawfie Challenge,"A Selfie Campaign in aid of the Cystic Fibrosis Trust (UK) Take a photo breathing through a straw, #strawfiechallenge Donations: Text BWCF64 £(amount) To 70070",
1591,nhsCFwarriormum,CF warrior mum Sharon,"The UK needs #TrikaftaNext With The CF community,  I’ll be fighting for the Game Changing drug until we get access on the the NHS when it’s EMA licensed 💛👊🏻",
1610,SAH_Rowan,SAH,Passionate about the arts and natural history.,
1692,SheilaGunny,SHEILA MYATT,Early retired Mathematics Lecturer in Further Education College in South Yorkshire. Love dogs.,1
1723,cllrjjames,Jeffrey James MBE OStJ,"Chairman Vale of Glamorgan Conservative Association, Chairman and Trustee Rhoose Community Library; : Member Cardiff/Vale St John Council:",2
1761,BENEDICT_W_B,benedict,"It's only unprecedented until it happens.




🔃s & 💙s ≠ Endorsements",
1859,DrWJL,Dr John Lockley,"Retired GP; FCI Council Member; EoE Clinical Senate; Writer; Eurosceptic; passionate over democracy, rule of law and fairness. Retweets and likes ≠ endorsement.",2
1880,Josh_Bardsley,Josh Bardsley,Entrepreneur & Triathlete,2
1913,spen63,Spen Wright,,
1920,RodBluh,Rod Bluh - Swindon,Semi-retired. Trustee of Wilts & Berks Canal Trust.Former Cllr & Leader of Swindon Borough Council. No longer member of a Party.Tweets are in private capacity.,
1922,BazFinWilts,Gromit,,
1990,chrisw223,Christine Williams,,1
2038,AnthonyBowson,anthony,,2
2042,teddyhuggy,Ursula Loveridge,A Shropshire Lass.,1
2044,bleating_lamb,Paul Davey,Soil Farmer 2019 finalist🧑🏼‍🌾 Newcastle Agric🐮@DaveyFarming🐑🌾 @GirsbyFarm Regen Agri 🚜 @LincsFineFoods🥘🇬🇧🦁🏴󠁧󠁢󠁥󠁮󠁧󠁿🏉Stitched up by #IRHP 🏦,2
2061,Mercy_RJC,𝕄𝕖𝕣𝕔𝕪 💧🖤🔥,"@arianagrande @camila_cabello ""I'm very keen on freedom. I love freedom. I love independence. I don't like to be tied down."" - Britney Spears",
2074,margwildbird,marjorie rigby,Founder of Silver Fox Dog Rescue Grand Ma to Connor and Mum to 9 rescue dogs.  I'm backing BRITAIN Proud Brexiteer,1
2123,Biz_Credit_Co,Biz Credit Company,,
2129,janea216,Jane Farmer,,1
2136,Renegade_Inc,Renegade Inc.,For those who think differently...,
2146,eddiegoldsmith,Edward Goldsmith,Former Partner @GWlegal in Liverpool. Long suffering conveyancer & Past Chairman of the Conveyancing Association. LFC supporter - I don’t bite.,2
2147,richardmathias,Richard Mathias,"Leeds loving, Yorkshire living, family doting, workaholic",2
2176,SelmesLtd,AndyS,Wild swimming. Helping homeless. Stop fracking. More tea. Old F1 RACING. Senna. 🎿 Time!,
2231,heppyo23,Richard Hepworth,"Grandad, grumpy old Yorkshire man, played rugby, watches cricket.",2
2256,4114nJ,Benny,Don't take advantage of my good nature.,
2261,bootneckrecce,Philbo Bird,Former (Royal Marine) I served as best as I could.,
2270,peonyrose234,jenny,,
2321,flojack300,flo jack,"3 degrees. Writer. Organic allotmenteer, gardener & wildlife surveyor. Genealogist and local historian. Resident association activist. Clinical researcher.",
2354,ewigley4641,rwrigley,,
2370,CathrynSteward,Cathryn Steward,"Solicitor (non-pract.), Business Owner, local Councillor, Mum to fab 4 & Wife to world’s No1 Husband. Loving life & thankful for every day 😊. Views are my own.",
2380,alan_alannlane,Populism onward!!!,"Worldwide Populist Movement. Trump USA, Brexit Party Farage. Le Pen Orban Salvini Bolsonaro ""Visegrad"" AfD, SD, VOXspain,",
2450,cllr_jeff,Cllr Jeff Jones,"Hertfordshire County Councillor and East Herts District Councillor, Buntingford Ward",
2472,loanchargevoice,loanchargevoice,,
2480,DeeplyConcerne3,Deeply Concerned,,
2482,Rob6414,Rob64,Pensioner about to be bankrupt due to Loan Charge and Retrospective Taxation,
2511,hazelk63,Hazel Nolan,Avid reader animal lover. and slave to beautiful tuxedo girl and handsome mini panfur all views totally approved by my cats,
2552,kingkon71586719,kingkong,"“In a time of universal deceit, telling the truth is a revolutionary act”. George Orwell.",
2564,KeechA13,Andy Keech,,
2585,LoongYeung,ML Yeung,,
2619,Winnie38516067,Winnie,Stand with Hong Kong🤝,
2621,LouisChan2019,Louis Chan,Ordinary person living in Hong Kong. Support freedom and democracy. Five Demands Not One Less.,2
2622,LAUSW8,LAU SW,,
2638,mjc_cook,sizzling,"Dad,husband,Social poker player, cricket mad",
2642,RussellBRoberts,Russell Roberts,"Views expressed are entirely within are my own.
Aerospace Engineer, Parish & Borough Cllr Hinckley & Bosworth.",2
2648,HopeEnglish12,🏴󠁧󠁢󠁥󠁮󠁧󠁿 Hope qanon wwg1 wga USA UK MEGAMAGA,"Putting England and USA First!  Q_anon-
English Patriot 🏴󠁧󠁢󠁥󠁮󠁧󠁿🇺🇸 LOVE USA PATRIOTS MEGA MAGA WWG1 WGA -",
2687,alex_fynney,Alex Fynney,"I do nothing but cook, run and listen to Ben Howard. I live in the middle of the sea.",
2696,IowTory,Nicky 🇬🇧,"I’m Nicky, a Conservative supporter on the Isle of Wight, working hard to re-elect Robert Seely MBE MP 👍 🇬🇧",
2739,dnhe6red,Dave Horton,"All opinions are my own. Retweet’s are an opinion, not an endorsement.",2
2749,LatifKohistani,Saranwal Mohammad Latif Kohistani,"lwayar , work Meshrano Jirga Secretariat,  Responsible for Political Programs at  RASA  - TV
0093787880701",
2771,councillordave1,Dave Stewart,,2
2824,RubiRubenstein,Robert MacKay,Scottish Tory living in London. Medical Entrepreneur. Angel Investor. Jewish. Libertarian.,2
2849,maglil55,Maglil55,,
2928,Citiflyer,Citiflyer,A young Victor Meldrew. #Avgeek,
2964,TarvesWay,"Tarves Way,Greenwich","The community discussion forum for Tarves Way, Greenwich,London",
3018,JayneDWales,Lady💙J💙Boomer💙🏴󠁧󠁢󠁷󠁬󠁳󠁿🇬🇧🇺🇸🇮🇱💙,"Conservative 🚫NO DM'S/NO PC🚫 #MBGA💙 #MAGA❤️ #IStandWithPriti
Love:fiancé, son, daughter, dog, Swans⚽ Ospreys/Wales🏈
💙I FOLLOW BACK💙",
3029,shfatads,SteveF,"Father of 3. Really concerned about education, but a teacher I could not be. Economics. Arsenal. Gardening.",2
3081,HilaryJLScott,Hilary Scott,,1
3089,anna_firth,ANNA FIRTH 🌍🐘🦁,District Councillor | Legal Professional | Board @CEN_HQ | @Conservatives candidate #GE2019 | Founder @step_counts | 🧗🏼‍♀️🏔,1
3152,SplendidTory,Splendid Tory,"I’m white, heterosexual, working class background, middle aged, British and proud. No snowflakes allowed. Wokeness & PC can fuck off. Brexit winner.",
3200,curetheNHS,Julie Bailey,"Founder of Cure the NHS, campaign group who campaigned for the Mid Staffs public inquiry into the disaster at Mid Staffs FT Hospital.",1
3213,Morlardybaba,Common Sense !,Common sense; A constant diminishing set of skill.,
3225,stgeorgeiscross,Hotspur #pleb,,
3240,MargaretButer,Margaret Buter,CEO at AWLA |London Mayor approved candidate 2018 |Cllr North Richmond 2014-2018 |1st Zambian in UK politics |Author |Conservationist |Wildlife-Policy Maker,1
3253,Denise02384592,Denise,,1
3258,noozeph,Nonye,"An ordinary me loved by ExTraOrdinary GOD. JESUS lover by default.

                                     My politics is Right and I'm a registered right.",
3288,Bccademocracy,BCCADEMOCRACY,Bccademocracy aims to assert the right of Conservative Party members to determine who their parliamentary candidate should be at a UK General Election.,
3290,johncarlisle5,John Caythorpe,British and proud anti EU,2
3293,dawngoodwin58,Dawn Hanson,"Just me & 2 cavapoos, love gin, #Boris #Trump, Fibro fighter,",
3310,silverhead61,Mark Lindsay,,2
3360,HeslingLaolcom,Delilah Hesling. (delilah.hesling@me.com),"Retired. Witness @ Mid-Staffs Robert Francis inquiry.NED on national housing board 9 years.Advocate Inclusion/Health/ Housing, @Housingfirst, BH RHF. NHS user",1
3369,unojen_wood,Jen Wood 😀,9 years and counting of the stinking Tories. How much more can we take before we stand up and say NO MORE. RT's are interesting and not endorsements.,
3427,Eagerspeakers,Be Right Excited Xtra Interested Times. 🇬🇧 👀,"Paranormals, ghosts, UFOs, aliens, conspiracy, glitches, matrix, dimensions, worlds within worlds. Planet. Climate. Boris Johnson. Conservatives. Trump America.",
3428,GeorgeLawley,George Lawley,22. Conservative. Work in Parliament and Trustee @gapafrica. History BA (Hons). Politics Mad. Mental Health Enthusiast. All poorly spelt views are my own.,2
3433,S100AKS,Anne Stafford,,1
3437,mascord,mascord,Retweets and likes are not endorsements.,
3444,RebeccaDickenso,Rebecca Dickenson,,1
3451,KenZeroHarm,Ken Lownds,Advocate for Zero Harm Right First Time for Healthcare Worldwide.  Proud former member of Cure the NHS,2
3452,RNRos,Ros Rolleston,"Curious & sceptical nurse, facilitator, educator. Person centred biopsychosocioculturoeconomic team based care in PHC. Own my opinions. Retweets = interesting",
3489,majeeb_asad,Asad Majeeb,Missionnaire/théologien de la communauté musulmane Ahmadiyya,
3491,BarkatRehman,Barkat Rehman,"للَّهُـمّ صَــــــلٌ علَےَ مُحمَّــــــــدْ و علَےَ آل مُحمَّــــــــدْ
 كما صَــــــلٌيت علَےَ إِبْرَاهِيمَ و علَےَ آل إِبْرَاهِيمَ إِنَّك حَمِيدٌ",
3530,Lewismcqueer,Lewis McQueer,"tweets are my own, re-tweet does not mean endorsement, opinion marked with L, Conservative.",2
3549,MichelleColes3,Michelle Coles,,1
3554,muhammadsalam,A. Salam,"Let’s put #HUMANITY FIRST, Humble servant of Humanity, Can’t think a life without #KHALIFA, Patriot https://t.co/vnXakJ6fJV, https://t.co/jMHG5vRmKp",
3557,JulieSi98081229,"Julie Singh,TRIBUNAL WHISTLEBLOWER",Nhs Indian Leader corruption tribunal,1
3612,KoltunViktor,Viktor Koltun,,2
3682,DominicT_B,Dominic 🇬🇧🇮🇪,"Favorite bands are Flow and OneOkRock, and #yanggang2020.
Benet House Captain",
3726,neilca125,Neil Anderson,,2
3790,AireboroughV,Aireborough Voice,Aireborough Neighbourhood Development Forum - designing a thriving place,
3815,Mark_Elsoffer,Mark Elsoffer,"CEO of Smutty Bird Tours. 
Gentrifying Tice's Meadow for the masses.",2
3817,TicesMeadow,Tice’s Meadow,Official account for Tice's Meadow Nature Reserve - Surrey's best birding site. Tweet your wildlife sightings and receive the latest news.,
3924,TracyAllison10,Tracy,"Owner of Allison Family Mediation Services. A 'local' mediation service available throughout Leeds, Wakefield and Huddersfield. Accredited Family Mediator.",
3951,ViralP4TEL,V I R A L,"धर्मो रक्षति रक्षितः. in Trades , Business, Merchant",
3966,MICHAELNOTT_UK,MICHAEL C NOTT,,2
3984,grahamwettone,Graham Wettone,"Author, 30 years policing. Police analyst for Sky news, tv & radio commentator. Father, football fan & golfer - Ambassador for #truehonour 

https://t.co/6d4nuo1Ftp",2
3998,ChrisWhiteley4,Chris Whiteley,I love all sports but especially cricket and a proud Ambassador for B3 Cricket https://t.co/qJwPKiBKRg,2
4005,NickGething,Nick Gething,"50-something husband, father, Conservative Councillor and solicitor with delusions of personality.",2
4080,marionste,Marion Steggles,I Retweet what I think my followers may find interesting. Retweets are not necessarily endorsements Ice Monster/Fing/Beast of Buckingham Palace/David Walliams,
4090,GemmaGeorgeXx,GemmaGeorgeXx,"Centre manager for Fig Offices @ 3 Newbridge square, Swindon (formally Tri-centre 3)",
4097,clarinetwoman2,michal beit halachmi 🔥,"🇮🇱 #news #politics, #security #israel, #space,#music, #OSINT and everything in between",
4132,Tilly_TeaCup,My Friends call me T,Usually found in the kitchen making anything from Cheese to Game Pie. I won a Ukulele at Christmas...I'm learning to play it. 😊,
4138,fab1231,Fatiha Bouchiba,"For resources & information on #NHS - #ThirdSector - #HumanRights & #SocialJustice, please see lists.",
4151,duncanbrinkley,Alan Duncan,,2
4191,tonymay4,tony may,,
4198,BlueFoxCAFH,Blue Fox,Multi award winning Founder -Blue Fox (MP Patrons) @ConservativeAWF Conservative Animal Welfare Foundation  & https://t.co/zgDfXhFgKE & @STAE_Elephants Board,
4237,ilona84010600,ilona,I am an imperfect human being saved by grace. I love the Lord. I am a mother. John 15:5,
4245,sgflo0,Samuel Florence,"Rochester, Kent 🇬🇧 🏳️‍🌈",2
4280,DulwichHamletFC,Dulwich Hamlet FC,Official Account of Dulwich Hamlet FC. National League South.  Born in 1893. Pride of South London. #DHFC 💖💙,
4285,GemmaOTPhD,Dr Gemma Wells,Photo elicitation. Lived experiences of older women. Occupational justice. Social action #occupationaltherapy #feminist Proud @Girlguiding volunteer,1
4290,theRCOT,Royal College of Occupational Therapists,RCOT is the professional membership body for occupational therapy staff in the UK. Join us today https://t.co/4riZmlw1tv,
4313,dandiedinmont,BevL (dandiedinmont) 🇮🇱,Dandie Dinmont is a character in Sir Walter Scott's Guy Mannering. Freeman of the City of London. #JewishAndProud  OWN VIEWS! RETWEETS NOT ENDORSEMENT!,
4322,bensmithsviews,Benedict Smith,"Classical Liberal I Theology Undergraduate @Cambridge_Uni I Chairman of Cambridge University Conservative Association @CUCA_Tweets

bws26@cam.ac.uk",
4334,pop_hill,Pop Pop 🇬🇧,"Every day, once a day, give yourself a present. Don’t plan it, don’t wait for it, just let it happen.",
4384,nealgeorge3504,Neal George,"Assistant Head - Head of Co Curricular, Benenden School",
4417,Mitch20015,Mitch✌️☮️🇬🇧 ➡️ 🌺🧢,18 - Interested in 🇬🇧🇺🇸🇨🇦🇪🇺 politics. #TreeHugger #Lexit #AlohaGang 🇬🇧🏴󠁧󠁢󠁥󠁮󠁧󠁿➡️🌸🌺🌻🌹🧢🐱🐶,
4423,didabrera,Diana Dabrera,Proud mother to two wonderful sons.,1
4476,lemezma,Marc Lemezma,"Keynote Speaker, Speaking Coach, Journalist, Writer & Magician. Holds challenging views on communications! Enjoys wordplay. Lover of @Emzylemez",2
4646,kipperc50,Tom Craig,"An Arsenal fan, with sporting and financial interests. Like photography, living in N. Ireland",2
4676,EricPickles,Lord (Eric) Pickles,Rt Hon The Lord Pickles Hon VP @HMD_UK President @EntForumUK UK Post Holocaust Envoy. CoChair @UKHMF MP Brentwood & Ongar 1992-2017,
4704,freyawill2,freyawill,patriotic Scot proud Brit,
4989,MaraphotoMara,📸Mara📸,"Photographer, London 🏴󠁧󠁢󠁥󠁮󠁧󠁿🇬🇧        Bring it...Brexit",
5182,Sandlove2468,Sandra Love,,1
5190,fraserbUK,Fraser@Bowz,"Ex-RAF, now working for Insurance Surveys Ltd, volunteer Vice-Chair of board of a charity -Equal Lives and a Thorpe St.Andrew town Councillor.",
5199,B0GiEuk,"Paul K ""Bogie""","Weapon💥and Comms🛰️Engineer. AIM Investor💷. Also enjoy biking, snowboarding and scuba diving. Also a loving dad for two beautiful girls. SaintsFC⚽️",2
5206,sarawacca,sue barker,love Britain brexiteers hate the gloomsters & doomsters lent Boris my vote hope he uses it wisely,1
5207,capitalistphere,capitalistphere,"Capitalism, freedom of exchange. 
Adam Smith not Karl Marx. Brexit not EU. #BritishIndependence. 🇬🇧NOT🇪🇺",
5208,stretfordblue,Rob Fielding,"Supported CITY for 66 years
British Patriot 
Brexit supporter
Maths Teacher then Lecturer
English Longbowman
Surfer, canoeist,SUP,Photographer",2
5236,patspicer4,Patricia Ann Spicer,,1
5256,BarbaraT09,County Cllr Thomson,County Councillor for Earlswood and South Reigate and Borough Councillor for Earlswood and Whitebushes,
5259,AngryBarStwd,Angry Bar Steward,"One Angry Bar Steward. Angry about everything, particularly self-entitled millennials. Loves Gammon, especially with Chips! #Angry4Life #Vegan #HashTags33%True",
5303,mikolahuk,allanmccullagh,,
5305,ChriConLew,Chris Lewis,Once an important gay now a humble finance worker,2
5377,CoDurhamMarc,Marc Owens 🐶🌳,I find the concept of Twitter to be both confusing and compellingly enjoyable.  Be seeing you.,2
5420,alecr1952,Alec,"Retired, 67 year old, married  No DM's or lists Please as I will not answer.",
5434,AmyCountryside,Amy,"Business & Finance, Politics, History, Vegan.",1
5468,acerbic_opinion,The Acerbic Academic,"Fully automated luxury Bojo-ism. Pronouns: The Master/Supreme Intergalactic Time Lord.
Blocked by @hackneyabbott & @MrJamesOB
#BrexitDone",
5490,BorkowskaAlicja,Alicja Borkowska,Conservative Party candidate in the local elections in 2010 and 2018; Tory activist; studied politics and journalism,1
5637,valthirteen,magnus kwaszenko,Grumpy and Cynical,
5666,iegf,Ian Forbes,,2
5685,Samuel51,Brian🇬🇧 Sovereign UK supporter.,If you swear you will be blocked. Proud white Methodist. Family first. Pro Israel. Originally  remainer until grandkids educated me. All lists will be deleted.,
5705,DrMand1,DrMand1,UK,
5781,bobgree57055980,bob green,,
5807,pm_bean,PM bean,Brexiteer. #muslim/moslemgrooming,
5837,CleanBreakBrexi,WTO exit 🇬🇧,WHITE and PROUD can't wait for 31/12/20 🇬🇧⚒️⚒️since 1962 Numpty=Blocked,
5857,DeanLockhartMSP,Dean Lockhart MSP,"MSP for Mid-Scotland and Fife Region and Scottish Conservative Shadow Cabinet Secretary for Business, Infrastructure and Transport https://t.co/IN4l8P8i3T",
5861,alankel89244102,Mancal Kelly❌❌🇬🇧,"Ex army ex Tory brexiteer mufc MANC& proud,right wing, Boris for Brexit Pm",
